0          References for Cross Section of 36SO        36S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 36SO       Total        1 branch
Lambda  Total   36S/O
1842.939528  3.82E-19  3.82E-19
1844.475474  6.85E-19  6.85E-19
1845.724186  9.27E-19  9.27E-19
1846.799041  1.08E-18  1.08E-18
1847.77113  1.21E-18  1.21E-18
1848.673135  1.32E-18  1.32E-18
1849.519501  1.41E-18  1.41E-18
1850.320731  1.48E-18  1.48E-18
1851.085627  1.56E-18  1.56E-18
1851.824215  1.63E-18  1.63E-18
1852.53962  1.69E-18  1.69E-18
1853.226  1.72E-18  1.72E-18
1853.901177  1.77E-18  1.77E-18
1854.559393  1.84E-18  1.84E-18
1855.197879  1.86E-18  1.86E-18
1855.822923  1.89E-18  1.89E-18
1856.420635  1.92E-18  1.92E-18
1857.0285  1.98E-18  1.98E-18
1857.613895  1.99E-18  1.99E-18
1858.203857  2.03E-18  2.03E-18
1858.754824  2.03E-18  2.03E-18
1859.319126  2.07E-18  2.07E-18
1859.877045  2.11E-18  2.11E-18
1860.419639  2.13E-18  2.13E-18
1860.946129  2.15E-18  2.15E-18
1861.476353  2.15E-18  2.15E-18
1862.011038  2.18E-18  2.18E-18
1862.512337  2.20E-18  2.20E-18
1863.027755  2.23E-18  2.23E-18
1863.539598  2.26E-18  2.26E-18
1864.024814  2.26E-18  2.26E-18
1864.529219  2.26E-18  2.26E-18
1865.016571  2.29E-18  2.29E-18
1865.490826  2.32E-18  2.32E-18
1865.98752  2.34E-18  2.34E-18
1866.442426  2.36E-18  2.36E-18
1866.922414  2.35E-18  2.35E-18
1867.396891  2.36E-18  2.36E-18
1867.841032  2.38E-18  2.38E-18
1868.329808  2.41E-18  2.41E-18
1868.748271  2.43E-18  2.43E-18
1869.221789  2.43E-18  2.43E-18
1869.67276  2.44E-18  2.44E-18
1870.100034  2.44E-18  2.44E-18
1870.571537  2.46E-18  2.46E-18
1870.969261  2.48E-18  2.48E-18
1871.452958  2.52E-18  2.52E-18
1871.838314  2.53E-18  2.53E-18
1872.303345  2.52E-18  2.52E-18
1872.709137  2.53E-18  2.53E-18
1873.146518  2.53E-18  2.53E-18
1873.564962  2.55E-18  2.55E-18
1873.977029  2.57E-18  2.57E-18
1874.410008  2.59E-18  2.59E-18
1874.805263  2.61E-18  2.61E-18
1875.240559  2.60E-18  2.60E-18
1875.619232  2.60E-18  2.60E-18
1876.060052  2.61E-18  2.61E-18
1876.430841  2.63E-18  2.63E-18
1876.875899  2.67E-18  2.67E-18
1877.230004  2.68E-18  2.68E-18
1877.673327  2.69E-18  2.69E-18
1878.029102  2.69E-18  2.69E-18
1878.465978  2.68E-18  2.68E-18
1878.820894  2.69E-18  2.69E-18
1879.24503  2.71E-18  2.71E-18
1879.601111  2.73E-18  2.73E-18
1880.023459  2.76E-18  2.76E-18
1880.367585  2.78E-18  2.78E-18
1880.779092  2.77E-18  2.77E-18
1881.084147  2.77E-18  2.77E-18
1881.44277  2.77E-18  2.77E-18
1881.756654  2.77E-18  2.77E-18
1882.071415  2.79E-18  2.79E-18
1882.408733  2.82E-18  2.82E-18
1882.687559  2.83E-18  2.83E-18
1883.00343  2.85E-18  2.85E-18
1883.297813  2.87E-18  2.87E-18
1883.57513  2.86E-18  2.86E-18
1883.903147  2.85E-18  2.85E-18
1884.162601  2.85E-18  2.85E-18
1884.447542  2.86E-18  2.86E-18
1884.753448  2.87E-18  2.87E-18
1884.999891  2.88E-18  2.88E-18
1885.285805  2.92E-18  2.92E-18
1885.570642  2.94E-18  2.94E-18
1885.824622  2.95E-18  2.95E-18
1886.100685  2.95E-18  2.95E-18
1886.375002  2.95E-18  2.95E-18
1886.630974  2.96E-18  2.96E-18
1886.890204  2.94E-18  2.94E-18
1887.158238  2.94E-18  2.94E-18
1887.414573  2.95E-18  2.95E-18
1887.659997  2.97E-18  2.97E-18
1887.929962  2.99E-18  2.99E-18
1888.185908  3.00E-18  3.00E-18
1888.41697  3.03E-18  3.03E-18
1888.689458  3.04E-18  3.04E-18
1888.938966  3.05E-18  3.05E-18
1889.163312  3.04E-18  3.04E-18
1889.425296  3.03E-18  3.03E-18
1889.670568  3.04E-18  3.04E-18
1889.905939  3.04E-18  3.04E-18
1890.153091  3.04E-18  3.04E-18
1890.392021  3.05E-18  3.05E-18
1890.638417  3.07E-18  3.07E-18
1890.870991  3.10E-18  3.10E-18
1891.109825  3.12E-18  3.12E-18
1891.349486  3.13E-18  3.13E-18
1891.567055  3.13E-18  3.13E-18
1891.820106  3.14E-18  3.14E-18
1892.045079  3.15E-18  3.15E-18
1892.269006  3.13E-18  3.13E-18
1892.511515  3.12E-18  3.12E-18
1892.738294  3.12E-18  3.12E-18
1892.974234  3.13E-18  3.13E-18
1893.186389  3.14E-18  3.14E-18
1893.425273  3.16E-18  3.16E-18
1893.645814  3.17E-18  3.17E-18
1893.865709  3.20E-18  3.20E-18
1894.101687  3.23E-18  3.23E-18
1894.311401  3.24E-18  3.24E-18
1894.546377  3.24E-18  3.24E-18
1894.75327  3.23E-18  3.23E-18
1894.992961  3.22E-18  3.22E-18
1895.201351  3.23E-18  3.23E-18
1895.421829  3.22E-18  3.22E-18
1895.643043  3.21E-18  3.21E-18
1895.853168  3.22E-18  3.22E-18
1896.079625  3.23E-18  3.23E-18
1896.282439  3.26E-18  3.26E-18
1896.515633  3.30E-18  3.30E-18
1896.707929  3.30E-18  3.30E-18
1896.94166  3.31E-18  3.31E-18
1897.14109  3.32E-18  3.32E-18
1897.36918  3.32E-18  3.32E-18
1897.5652  3.33E-18  3.33E-18
1897.788739  3.32E-18  3.32E-18
1897.995993  3.30E-18  3.30E-18
1898.199383  3.30E-18  3.30E-18
1898.40938  3.30E-18  3.30E-18
1898.621645  3.31E-18  3.31E-18
1898.831525  3.32E-18  3.32E-18
1899.030275  3.33E-18  3.33E-18
1899.247074  3.35E-18  3.35E-18
1899.446052  3.39E-18  3.39E-18
1899.660183  3.42E-18  3.42E-18
1899.851003  3.43E-18  3.43E-18
1900.074419  3.43E-18  3.43E-18
1900.268638  3.41E-18  3.41E-18
1900.479374  3.41E-18  3.41E-18
1900.658223  3.42E-18  3.42E-18
1900.883453  3.41E-18  3.41E-18
1901.076599  3.40E-18  3.40E-18
1901.28505  3.39E-18  3.39E-18
1901.463668  3.39E-18  3.39E-18
1901.69052  3.42E-18  3.42E-18
1901.88354  3.45E-18  3.45E-18
1902.083115  3.47E-18  3.47E-18
1902.260209  3.48E-18  3.48E-18
1902.487389  3.48E-18  3.48E-18
1902.679596  3.50E-18  3.50E-18
1902.875668  3.50E-18  3.50E-18
1903.048114  3.51E-18  3.51E-18
1903.273604  3.51E-18  3.51E-18
1903.462986  3.48E-18  3.48E-18
1903.657829  3.48E-18  3.48E-18
1903.830031  3.48E-18  3.48E-18
1904.051026  3.49E-18  3.49E-18
1904.242959  3.49E-18  3.49E-18
1904.437958  3.49E-18  3.49E-18
