0          References for Cross Section of 34S36SO        
           Frandsen et al., 2020 (S2O-No isotope)   
0 Branching ratio for 34S36SO       Total        2 branches
Lambda  Total   34S/36SO   36S/34SO
4099.9  1.950E-20  9.750E-21  9.750E-21
4106.7  1.930E-20  9.650E-21  9.650E-21
4113.5  1.910E-20  9.550E-21  9.550E-21
4120.3  1.900E-20  9.500E-21  9.500E-21
4127.2  1.880E-20  9.400E-21  9.400E-21
4134  1.860E-20  9.300E-21  9.300E-21
4141  1.840E-20  9.200E-21  9.200E-21
4147.9  1.820E-20  9.100E-21  9.100E-21
4154.8  1.790E-20  8.950E-21  8.950E-21
4161.8  1.770E-20  8.850E-21  8.850E-21
4168.8  1.750E-20  8.750E-21  8.750E-21
4175.8  1.720E-20  8.600E-21  8.600E-21
4182.9  1.690E-20  8.450E-21  8.450E-21
4189.9  1.670E-20  8.350E-21  8.350E-21
4197  1.640E-20  8.200E-21  8.200E-21
4204.1  1.610E-20  8.050E-21  8.050E-21
4211.3  1.590E-20  7.950E-21  7.950E-21
4218.4  1.560E-20  7.800E-21  7.800E-21
4225.6  1.530E-20  7.650E-21  7.650E-21
4232.8  1.500E-20  7.500E-21  7.500E-21
4240.1  1.480E-20  7.400E-21  7.400E-21
4247.3  1.450E-20  7.250E-21  7.250E-21
4254.6  1.430E-20  7.150E-21  7.150E-21
4261.9  1.410E-20  7.050E-21  7.050E-21
4269.3  1.380E-20  6.900E-21  6.900E-21
4276.6  1.360E-20  6.800E-21  6.800E-21
4284  1.340E-20  6.700E-21  6.700E-21
4291.4  1.320E-20  6.600E-21  6.600E-21
4298.9  1.300E-20  6.500E-21  6.500E-21
4306.4  1.290E-20  6.450E-21  6.450E-21
4313.8  1.270E-20  6.350E-21  6.350E-21
4321.4  1.260E-20  6.300E-21  6.300E-21
4328.9  1.250E-20  6.250E-21  6.250E-21
4336.5  1.240E-20  6.200E-21  6.200E-21
4344.1  1.230E-20  6.150E-21  6.150E-21
4351.7  1.230E-20  6.150E-21  6.150E-21
4359.3  1.220E-20  6.100E-21  6.100E-21
4367  1.220E-20  6.100E-21  6.100E-21
4374.7  1.220E-20  6.100E-21  6.100E-21
4382.5  1.220E-20  6.100E-21  6.100E-21
4390.2  1.230E-20  6.150E-21  6.150E-21
4398  1.230E-20  6.150E-21  6.150E-21
4405.8  1.240E-20  6.200E-21  6.200E-21
4413.7  1.260E-20  6.300E-21  6.300E-21
4421.5  1.270E-20  6.350E-21  6.350E-21
4429.4  1.290E-20  6.450E-21  6.450E-21
4437.4  1.310E-20  6.550E-21  6.550E-21
4445.3  1.330E-20  6.650E-21  6.650E-21
4453.3  1.360E-20  6.800E-21  6.800E-21
4461.3  1.390E-20  6.950E-21  6.950E-21
4469.3  1.420E-20  7.100E-21  7.100E-21
4477.4  1.450E-20  7.250E-21  7.250E-21
4485.5  1.480E-20  7.400E-21  7.400E-21
4493.6  1.520E-20  7.600E-21  7.600E-21
4501.8  1.560E-20  7.800E-21  7.800E-21
4510  1.590E-20  7.950E-21  7.950E-21
4518.2  1.630E-20  8.150E-21  8.150E-21
4526.5  1.670E-20  8.350E-21  8.350E-21
4534.7  1.710E-20  8.550E-21  8.550E-21
4543  1.750E-20  8.750E-21  8.750E-21
4551.4  1.780E-20  8.900E-21  8.900E-21
4559.8  1.820E-20  9.100E-21  9.100E-21
4568.2  1.850E-20  9.250E-21  9.250E-21
4576.6  1.880E-20  9.400E-21  9.400E-21
4585  1.910E-20  9.550E-21  9.550E-21
4593.5  1.930E-20  9.650E-21  9.650E-21
4602.1  1.960E-20  9.800E-21  9.800E-21
4610.6  1.980E-20  9.900E-21  9.900E-21
4619.2  1.990E-20  9.950E-21  9.950E-21
4627.8  2.010E-20  1.005E-20  1.005E-20
4636.5  2.020E-20  1.010E-20  1.010E-20
4645.2  2.030E-20  1.015E-20  1.015E-20
4653.9  2.030E-20  1.015E-20  1.015E-20
4662.6  2.040E-20  1.020E-20  1.020E-20
4671.4  2.040E-20  1.020E-20  1.020E-20
4680.2  2.040E-20  1.020E-20  1.020E-20
4689.1  2.030E-20  1.015E-20  1.015E-20
4698  2.030E-20  1.015E-20  1.015E-20
4706.9  2.020E-20  1.010E-20  1.010E-20
4715.8  2.010E-20  1.005E-20  1.005E-20
4724.8  2.000E-20  1.000E-20  1.000E-20
4733.8  1.990E-20  9.950E-21  9.950E-21
4742.9  1.970E-20  9.850E-21  9.850E-21
4752  1.950E-20  9.750E-21  9.750E-21
4761.1  1.930E-20  9.650E-21  9.650E-21
4770.3  1.910E-20  9.550E-21  9.550E-21
4779.5  1.890E-20  9.450E-21  9.450E-21
4788.7  1.860E-20  9.300E-21  9.300E-21
4798  1.840E-20  9.200E-21  9.200E-21
4807.3  1.810E-20  9.050E-21  9.050E-21
4816.6  1.780E-20  8.900E-21  8.900E-21
4826  1.740E-20  8.700E-21  8.700E-21
4835.4  1.710E-20  8.550E-21  8.550E-21
4844.8  1.670E-20  8.350E-21  8.350E-21
4854.3  1.630E-20  8.150E-21  8.150E-21
4863.8  1.590E-20  7.950E-21  7.950E-21
4873.4  1.550E-20  7.750E-21  7.750E-21
4883  1.500E-20  7.500E-21  7.500E-21
4892.6  1.460E-20  7.300E-21  7.300E-21
4902.3  1.410E-20  7.050E-21  7.050E-21
4912  1.370E-20  6.850E-21  6.850E-21
4921.8  1.320E-20  6.600E-21  6.600E-21
4931.6  1.280E-20  6.400E-21  6.400E-21
4941.4  1.230E-20  6.150E-21  6.150E-21
4951.2  1.180E-20  5.900E-21  5.900E-21
4961.2  1.140E-20  5.700E-21  5.700E-21
4971.1  1.090E-20  5.450E-21  5.450E-21
4981.1  1.040E-20  5.200E-21  5.200E-21
4991.1  9.970E-21  4.985E-21  4.985E-21
5001.2  9.510E-21  4.755E-21  4.755E-21
5011.3  9.060E-21  4.530E-21  4.530E-21
5021.4  8.610E-21  4.305E-21  4.305E-21
5031.6  8.160E-21  4.080E-21  4.080E-21
5041.9  7.730E-21  3.865E-21  3.865E-21
5052.1  7.300E-21  3.650E-21  3.650E-21
5062.4  6.880E-21  3.440E-21  3.440E-21
5072.8  6.470E-21  3.235E-21  3.235E-21
5083.2  6.070E-21  3.035E-21  3.035E-21
5093.6  5.680E-21  2.840E-21  2.840E-21
5104.1  5.310E-21  2.655E-21  2.655E-21
5114.6  4.950E-21  2.475E-21  2.475E-21
5125.2  4.600E-21  2.300E-21  2.300E-21
5135.8  4.260E-21  2.130E-21  2.130E-21
5146.5  3.950E-21  1.975E-21  1.975E-21
5157.2  3.640E-21  1.820E-21  1.820E-21
5167.9  3.350E-21  1.675E-21  1.675E-21
5178.7  3.080E-21  1.540E-21  1.540E-21
5189.6  2.820E-21  1.410E-21  1.410E-21
5200.5  2.580E-21  1.290E-21  1.290E-21
5211.4  2.350E-21  1.175E-21  1.175E-21
5222.4  2.130E-21  1.065E-21  1.065E-21
5233.4  1.930E-21  9.650E-22  9.650E-22
5244.5  1.750E-21  8.750E-22  8.750E-22
5255.6  1.570E-21  7.850E-22  7.850E-22
5266.7  1.410E-21  7.050E-22  7.050E-22
5277.9  1.270E-21  6.350E-22  6.350E-22
5289.2  1.130E-21  5.650E-22  5.650E-22
5300.5  1.000E-21  5.000E-22  5.000E-22
5311.9  8.910E-22  4.455E-22  4.455E-22
5323.3  7.880E-22  3.940E-22  3.940E-22
5334.7  6.940E-22  3.470E-22  3.470E-22
5346.2  6.090E-22  3.045E-22  3.045E-22
5357.8  5.330E-22  2.665E-22  2.665E-22
5369.4  4.650E-22  2.325E-22  2.325E-22
5381  4.040E-22  2.020E-22  2.020E-22
5392.7  3.490E-22  1.745E-22  1.745E-22
5404.5  3.010E-22  1.505E-22  1.505E-22
5416.3  2.580E-22  1.290E-22  1.290E-22
5428.1  2.210E-22  1.105E-22  1.105E-22
5440.1  1.880E-22  9.400E-23  9.400E-23
5452  1.590E-22  7.950E-23  7.950E-23
5464  1.340E-22  6.700E-23  6.700E-23
5476.1  1.120E-22  5.600E-23  5.600E-23
5488.2  9.300E-23  4.650E-23  4.650E-23
5500.4  7.700E-23  3.850E-23  3.850E-23
5512.6  6.400E-23  3.200E-23  3.200E-23
5524.9  5.200E-23  2.600E-23  2.600E-23
5537.2  4.200E-23  2.100E-23  2.100E-23
5549.6  3.400E-23  1.700E-23  1.700E-23
5562.1  2.800E-23  1.400E-23  1.400E-23
5574.6  2.200E-23  1.100E-23  1.100E-23
5587.1  1.700E-23  8.500E-24  8.500E-24
5599.8  1.400E-23  7.000E-24  7.000E-24
5612.4  1.100E-23  5.500E-24  5.500E-24
5625.2  8.000E-24  4.000E-24  4.000E-24
5638  6.000E-24  3.000E-24  3.000E-24
5650.8  5.000E-24  2.500E-24  2.500E-24
