0          References for Cross Section of 34S34SO       
           Frandsen et al., 2020 (S2O-No isotope)   
0 Branching ratio for 34S34SO       Total        1 branch
Lambda  Total   34S/34SO
2572.8  3.49E-18  3.49E-18
2575.4  3.58E-18  3.58E-18
2578.1  3.68E-18  3.68E-18
2580.8  3.77E-18  3.77E-18
2583.5  3.87E-18  3.87E-18
2586.2  3.97E-18  3.97E-18
2588.9  4.08E-18  4.08E-18
2591.6  4.20E-18  4.20E-18
2594.3  4.33E-18  4.33E-18
2597  4.47E-18  4.47E-18
2599.7  4.63E-18  4.63E-18
2602.5  4.80E-18  4.80E-18
2605.2  4.99E-18  4.99E-18
2607.9  5.20E-18  5.20E-18
2610.7  5.42E-18  5.42E-18
2613.4  5.66E-18  5.66E-18
2616.2  5.92E-18  5.92E-18
2619  6.19E-18  6.19E-18
2621.7  6.48E-18  6.48E-18
2624.5  6.78E-18  6.78E-18
2627.3  7.09E-18  7.09E-18
2630.1  7.41E-18  7.41E-18
2632.9  7.73E-18  7.73E-18
2635.7  8.06E-18  8.06E-18
2638.5  8.39E-18  8.39E-18
2641.3  8.72E-18  8.72E-18
2644.1  9.05E-18  9.05E-18
2646.9  9.37E-18  9.37E-18
2649.7  9.68E-18  9.68E-18
2652.6  9.98E-18  9.98E-18
2655.4  1.03E-17  1.03E-17
2658.3  1.06E-17  1.06E-17
2661.1  1.08E-17  1.08E-17
2664  1.11E-17  1.11E-17
2666.8  1.13E-17  1.13E-17
2669.7  1.16E-17  1.16E-17
2672.6  1.18E-17  1.18E-17
2675.5  1.20E-17  1.20E-17
2678.4  1.22E-17  1.22E-17
2681.3  1.25E-17  1.25E-17
2684.2  1.27E-17  1.27E-17
2687.1  1.29E-17  1.29E-17
2690  1.31E-17  1.31E-17
2692.9  1.33E-17  1.33E-17
2695.8  1.35E-17  1.35E-17
2698.8  1.37E-17  1.37E-17
2701.7  1.39E-17  1.39E-17
2704.7  1.41E-17  1.41E-17
2707.6  1.43E-17  1.43E-17
2710.6  1.45E-17  1.45E-17
2713.5  1.47E-17  1.47E-17
2716.5  1.49E-17  1.49E-17
2719.5  1.51E-17  1.51E-17
2722.5  1.52E-17  1.52E-17
2725.5  1.54E-17  1.54E-17
2728.5  1.56E-17  1.56E-17
2731.5  1.57E-17  1.57E-17
2734.5  1.59E-17  1.59E-17
2737.5  1.60E-17  1.60E-17
2740.5  1.62E-17  1.62E-17
2743.6  1.63E-17  1.63E-17
2746.6  1.65E-17  1.65E-17
2749.6  1.66E-17  1.66E-17
2752.7  1.67E-17  1.67E-17
2755.8  1.68E-17  1.68E-17
2758.8  1.69E-17  1.69E-17
2761.9  1.70E-17  1.70E-17
2765  1.71E-17  1.71E-17
2768.1  1.72E-17  1.72E-17
2771.2  1.73E-17  1.73E-17
2774.3  1.74E-17  1.74E-17
2777.4  1.75E-17  1.75E-17
2780.5  1.76E-17  1.76E-17
2783.6  1.77E-17  1.77E-17
2786.7  1.78E-17  1.78E-17
2789.9  1.78E-17  1.78E-17
2793  1.79E-17  1.79E-17
2796.2  1.79E-17  1.79E-17
2799.3  1.80E-17  1.80E-17
2802.5  1.80E-17  1.80E-17
2805.6  1.80E-17  1.80E-17
2808.8  1.80E-17  1.80E-17
2812  1.80E-17  1.80E-17
2815.2  1.80E-17  1.80E-17
2818.4  1.79E-17  1.79E-17
2821.6  1.79E-17  1.79E-17
2824.8  1.78E-17  1.78E-17
2828  1.77E-17  1.77E-17
2831.3  1.76E-17  1.76E-17
2834.5  1.75E-17  1.75E-17
2837.8  1.74E-17  1.74E-17
2841  1.72E-17  1.72E-17
2844.3  1.71E-17  1.71E-17
2847.5  1.70E-17  1.70E-17
2850.8  1.68E-17  1.68E-17
2854.1  1.67E-17  1.67E-17
2857.4  1.65E-17  1.65E-17
2860.7  1.64E-17  1.64E-17
2864  1.62E-17  1.62E-17
2867.3  1.61E-17  1.61E-17
2870.6  1.59E-17  1.59E-17
2873.9  1.57E-17  1.57E-17
2877.3  1.56E-17  1.56E-17
2880.6  1.54E-17  1.54E-17
2884  1.52E-17  1.52E-17
2887.3  1.51E-17  1.51E-17
2890.7  1.49E-17  1.49E-17
2894.1  1.47E-17  1.47E-17
2897.4  1.45E-17  1.45E-17
2900.8  1.44E-17  1.44E-17
2904.2  1.42E-17  1.42E-17
2907.6  1.40E-17  1.40E-17
2911  1.38E-17  1.38E-17
2914.5  1.36E-17  1.36E-17
2917.9  1.33E-17  1.33E-17
2921.3  1.31E-17  1.31E-17
2924.8  1.29E-17  1.29E-17
2928.2  1.27E-17  1.27E-17
2931.7  1.24E-17  1.24E-17
2935.2  1.22E-17  1.22E-17
2938.6  1.20E-17  1.20E-17
2942.1  1.17E-17  1.17E-17
2945.6  1.15E-17  1.15E-17
2949.1  1.12E-17  1.12E-17
2952.6  1.10E-17  1.10E-17
2956.2  1.07E-17  1.07E-17
2959.7  1.04E-17  1.04E-17
2963.2  1.02E-17  1.02E-17
2966.8  9.90E-18  9.90E-18
2970.3  9.63E-18  9.63E-18
2973.9  9.36E-18  9.36E-18
2977.5  9.09E-18  9.09E-18
2981  8.82E-18  8.82E-18
2984.6  8.54E-18  8.54E-18
2988.2  8.28E-18  8.28E-18
2991.8  8.01E-18  8.01E-18
2995.4  7.74E-18  7.74E-18
2999.1  7.48E-18  7.48E-18
3002.7  7.23E-18  7.23E-18
3006.3  6.97E-18  6.97E-18
3010  6.73E-18  6.73E-18
3013.6  6.49E-18  6.49E-18
3017.3  6.25E-18  6.25E-18
3021  6.02E-18  6.02E-18
3024.7  5.80E-18  5.80E-18
3028.4  5.59E-18  5.59E-18
3032.1  5.38E-18  5.38E-18
3035.8  5.19E-18  5.19E-18
3039.5  5.00E-18  5.00E-18
3043.2  4.81E-18  4.81E-18
3047  4.64E-18  4.64E-18
3050.7  4.47E-18  4.47E-18
3054.5  4.31E-18  4.31E-18
3058.2  4.15E-18  4.15E-18
3062  4.00E-18  4.00E-18
3065.8  3.86E-18  3.86E-18
3069.6  3.71E-18  3.71E-18
3073.4  3.57E-18  3.57E-18
3077.2  3.44E-18  3.44E-18
3081  3.30E-18  3.30E-18
3084.9  3.17E-18  3.17E-18
3088.7  3.04E-18  3.04E-18
3092.6  2.91E-18  2.91E-18
3096.4  2.78E-18  2.78E-18
3100.3  2.65E-18  2.65E-18
3104.2  2.52E-18  2.52E-18
3108.1  2.39E-18  2.39E-18
3112  2.26E-18  2.26E-18
3115.9  2.14E-18  2.14E-18
3119.8  2.01E-18  2.01E-18
3123.7  1.89E-18  1.89E-18
3127.7  1.77E-18  1.77E-18
3131.6  1.66E-18  1.66E-18
3135.6  1.55E-18  1.55E-18
3139.6  1.44E-18  1.44E-18
3143.5  1.34E-18  1.34E-18
3147.5  1.25E-18  1.25E-18
3151.5  1.16E-18  1.16E-18
3155.5  1.08E-18  1.08E-18
3159.6  1.01E-18  1.01E-18
3163.6  9.37E-19  9.37E-19
3167.6  8.75E-19  8.75E-19
3171.7  8.19E-19  8.19E-19
3175.7  7.68E-19  7.68E-19
3179.8  7.22E-19  7.22E-19
3183.9  6.81E-19  6.81E-19
3188  6.44E-19  6.44E-19
3192.1  6.10E-19  6.10E-19
3196.2  5.79E-19  5.79E-19
3200.3  5.51E-19  5.51E-19
3204.5  5.24E-19  5.24E-19
3208.6  4.99E-19  4.99E-19
3212.8  4.76E-19  4.76E-19
3216.9  4.53E-19  4.53E-19
3221.1  4.32E-19  4.32E-19
3225.3  4.11E-19  4.11E-19
3229.5  3.90E-19  3.90E-19
3233.7  3.70E-19  3.70E-19
3237.9  3.51E-19  3.51E-19
3242.2  3.32E-19  3.32E-19
3246.4  3.14E-19  3.14E-19
3250.7  2.96E-19  2.96E-19
3254.9  2.79E-19  2.79E-19
3259.2  2.63E-19  2.63E-19
3263.5  2.47E-19  2.47E-19
3267.8  2.31E-19  2.31E-19
3272.1  2.16E-19  2.16E-19
3276.5  2.02E-19  2.02E-19
3280.8  1.87E-19  1.87E-19
3285.1  1.74E-19  1.74E-19
3289.5  1.61E-19  1.61E-19
3293.9  1.48E-19  1.48E-19
3298.2  1.36E-19  1.36E-19
3302.6  1.24E-19  1.24E-19
3307  1.13E-19  1.13E-19
3311.5  1.02E-19  1.02E-19
3315.9  9.14E-20  9.14E-20
3320.3  8.17E-20  8.17E-20
3324.8  7.26E-20  7.26E-20
3329.2  6.40E-20  6.40E-20
3333.7  5.62E-20  5.62E-20
3338.2  4.89E-20  4.89E-20
3342.7  4.23E-20  4.23E-20
3347.2  3.64E-20  3.64E-20
3351.7  3.11E-20  3.11E-20
3356.3  2.64E-20  2.64E-20
3360.8  2.22E-20  2.22E-20
3365.4  1.87E-20  1.87E-20
3370  1.56E-20  1.56E-20
3374.5  1.29E-20  1.29E-20
3379.1  1.07E-20  1.07E-20
3383.8  8.87E-21  8.87E-21
3388.4  7.35E-21  7.35E-21
3393  6.12E-21  6.12E-21
3397.7  5.13E-21  5.13E-21
3402.3  4.34E-21  4.34E-21
3407  3.74E-21  3.74E-21
3411.7  3.28E-21  3.28E-21
3416.4  2.94E-21  2.94E-21
3421.1  2.70E-21  2.70E-21
3425.8  2.54E-21  2.54E-21
3430.6  2.44E-21  2.44E-21
3435.3  2.40E-21  2.40E-21
3440.1  2.40E-21  2.40E-21
3444.9  2.43E-21  2.43E-21
3449.7  2.50E-21  2.50E-21
3454.5  2.58E-21  2.58E-21
3459.3  2.69E-21  2.69E-21
3464.1  2.81E-21  2.81E-21
3469  2.94E-21  2.94E-21
3473.8  3.09E-21  3.09E-21
3478.7  3.25E-21  3.25E-21
3483.6  3.41E-21  3.41E-21
3488.5  3.59E-21  3.59E-21
3493.4  3.78E-21  3.78E-21
3498.3  3.98E-21  3.98E-21
3503.3  4.18E-21  4.18E-21
3508.2  4.40E-21  4.40E-21
3513.2  4.62E-21  4.62E-21
3518.2  4.85E-21  4.85E-21
3523.2  5.09E-21  5.09E-21
3528.2  5.34E-21  5.34E-21
3533.2  5.60E-21  5.60E-21
3538.3  5.87E-21  5.87E-21
3543.3  6.14E-21  6.14E-21
3548.4  6.42E-21  6.42E-21
3553.5  6.71E-21  6.71E-21
3558.6  7.01E-21  7.01E-21
3563.7  7.32E-21  7.32E-21
3568.8  7.63E-21  7.63E-21
3574  7.95E-21  7.95E-21
3579.1  8.27E-21  8.27E-21
3584.3  8.60E-21  8.60E-21
3589.5  8.94E-21  8.94E-21
3594.7  9.28E-21  9.28E-21
3599.9  9.62E-21  9.62E-21
3605.1  9.97E-21  9.97E-21
3610.4  1.03E-20  1.03E-20
3615.6  1.07E-20  1.07E-20
3620.9  1.10E-20  1.10E-20
3626.2  1.14E-20  1.14E-20
3631.5  1.18E-20  1.18E-20
3636.9  1.21E-20  1.21E-20
3642.2  1.25E-20  1.25E-20
3647.6  1.29E-20  1.29E-20
3652.9  1.32E-20  1.32E-20
3658.3  1.36E-20  1.36E-20
3663.7  1.40E-20  1.40E-20
3669.1  1.44E-20  1.44E-20
3674.6  1.47E-20  1.47E-20
3680  1.51E-20  1.51E-20
3685.5  1.55E-20  1.55E-20
3691  1.59E-20  1.59E-20
3696.5  1.62E-20  1.62E-20
3702  1.66E-20  1.66E-20
3707.6  1.70E-20  1.70E-20
3713.1  1.73E-20  1.73E-20
3718.7  1.77E-20  1.77E-20
3724.3  1.80E-20  1.80E-20
3729.9  1.84E-20  1.84E-20
3735.5  1.87E-20  1.87E-20
3741.1  1.90E-20  1.90E-20
3746.8  1.94E-20  1.94E-20
3752.4  1.97E-20  1.97E-20
3758.1  2.00E-20  2.00E-20
3763.8  2.02E-20  2.02E-20
3769.5  2.05E-20  2.05E-20
3775.3  2.08E-20  2.08E-20
3781  2.10E-20  2.10E-20
3786.8  2.12E-20  2.12E-20
3792.6  2.15E-20  2.15E-20
3798.4  2.17E-20  2.17E-20
3804.2  2.18E-20  2.18E-20
3810.1  2.20E-20  2.20E-20
3816  2.21E-20  2.21E-20
3821.8  2.23E-20  2.23E-20
3827.7  2.24E-20  2.24E-20
3833.7  2.24E-20  2.24E-20
3839.6  2.25E-20  2.25E-20
3845.5  2.25E-20  2.25E-20
3851.5  2.25E-20  2.25E-20
3857.5  2.25E-20  2.25E-20
3863.5  2.25E-20  2.25E-20
3869.5  2.24E-20  2.24E-20
3875.6  2.24E-20  2.24E-20
3881.7  2.23E-20  2.23E-20
3887.7  2.22E-20  2.22E-20
3893.9  2.21E-20  2.21E-20
3900  2.20E-20  2.20E-20
3906.1  2.19E-20  2.19E-20
3912.3  2.18E-20  2.18E-20
3918.5  2.17E-20  2.17E-20
3924.7  2.16E-20  2.16E-20
3930.9  2.15E-20  2.15E-20
3937.1  2.14E-20  2.14E-20
3943.4  2.13E-20  2.13E-20
3949.7  2.12E-20  2.12E-20
3956  2.11E-20  2.11E-20
3962.3  2.11E-20  2.11E-20
3968.6  2.10E-20  2.10E-20
3975  2.10E-20  2.10E-20
3981.4  2.09E-20  2.09E-20
3987.8  2.09E-20  2.09E-20
3994.2  2.08E-20  2.08E-20
4000.7  2.08E-20  2.08E-20
4007.1  2.07E-20  2.07E-20
4013.6  2.07E-20  2.07E-20
4020.1  2.06E-20  2.06E-20
4026.6  2.06E-20  2.06E-20
4033.2  2.05E-20  2.05E-20
4039.8  2.04E-20  2.04E-20
4046.3  2.04E-20  2.04E-20
4053  2.03E-20  2.03E-20
4059.6  2.02E-20  2.02E-20
4066.3  2.01E-20  2.01E-20
4072.9  2.00E-20  2.00E-20
4079.6  1.99E-20  1.99E-20
4086.4  1.97E-20  1.97E-20
4093.1  1.96E-20  1.96E-20
4099.9  1.95E-20  1.95E-20
4106.7  1.93E-20  1.93E-20
4113.5  1.91E-20  1.91E-20
4120.3  1.90E-20  1.90E-20
4127.2  1.88E-20  1.88E-20
4134  1.86E-20  1.86E-20
4141  1.84E-20  1.84E-20
4147.9  1.82E-20  1.82E-20
4154.8  1.79E-20  1.79E-20
4161.8  1.77E-20  1.77E-20
4168.8  1.75E-20  1.75E-20
4175.8  1.72E-20  1.72E-20
4182.9  1.69E-20  1.69E-20
4189.9  1.67E-20  1.67E-20
4197  1.64E-20  1.64E-20
4204.1  1.61E-20  1.61E-20
4211.3  1.59E-20  1.59E-20
4218.4  1.56E-20  1.56E-20
4225.6  1.53E-20  1.53E-20
4232.8  1.50E-20  1.50E-20
4240.1  1.48E-20  1.48E-20
4247.3  1.45E-20  1.45E-20
4254.6  1.43E-20  1.43E-20
4261.9  1.41E-20  1.41E-20
4269.3  1.38E-20  1.38E-20
4276.6  1.36E-20  1.36E-20
4284  1.34E-20  1.34E-20
4291.4  1.32E-20  1.32E-20
4298.9  1.30E-20  1.30E-20
4306.4  1.29E-20  1.29E-20
4313.8  1.27E-20  1.27E-20
4321.4  1.26E-20  1.26E-20
4328.9  1.25E-20  1.25E-20
4336.5  1.24E-20  1.24E-20
4344.1  1.23E-20  1.23E-20
4351.7  1.23E-20  1.23E-20
4359.3  1.22E-20  1.22E-20
4367  1.22E-20  1.22E-20
4374.7  1.22E-20  1.22E-20
4382.5  1.22E-20  1.22E-20
4390.2  1.23E-20  1.23E-20
4398  1.23E-20  1.23E-20
4405.8  1.24E-20  1.24E-20
4413.7  1.26E-20  1.26E-20
4421.5  1.27E-20  1.27E-20
4429.4  1.29E-20  1.29E-20
4437.4  1.31E-20  1.31E-20
4445.3  1.33E-20  1.33E-20
4453.3  1.36E-20  1.36E-20
4461.3  1.39E-20  1.39E-20
4469.3  1.42E-20  1.42E-20
4477.4  1.45E-20  1.45E-20
4485.5  1.48E-20  1.48E-20
4493.6  1.52E-20  1.52E-20
4501.8  1.56E-20  1.56E-20
4510  1.59E-20  1.59E-20
4518.2  1.63E-20  1.63E-20
4526.5  1.67E-20  1.67E-20
4534.7  1.71E-20  1.71E-20
4543  1.75E-20  1.75E-20
4551.4  1.78E-20  1.78E-20
4559.8  1.82E-20  1.82E-20
4568.2  1.85E-20  1.85E-20
4576.6  1.88E-20  1.88E-20
4585  1.91E-20  1.91E-20
4593.5  1.93E-20  1.93E-20
4602.1  1.96E-20  1.96E-20
4610.6  1.98E-20  1.98E-20
4619.2  1.99E-20  1.99E-20
4627.8  2.01E-20  2.01E-20
4636.5  2.02E-20  2.02E-20
4645.2  2.03E-20  2.03E-20
4653.9  2.03E-20  2.03E-20
4662.6  2.04E-20  2.04E-20
4671.4  2.04E-20  2.04E-20
4680.2  2.04E-20  2.04E-20
4689.1  2.03E-20  2.03E-20
4698  2.03E-20  2.03E-20
4706.9  2.02E-20  2.02E-20
4715.8  2.01E-20  2.01E-20
4724.8  2.00E-20  2.00E-20
4733.8  1.99E-20  1.99E-20
4742.9  1.97E-20  1.97E-20
4752  1.95E-20  1.95E-20
4761.1  1.93E-20  1.93E-20
4770.3  1.91E-20  1.91E-20
4779.5  1.89E-20  1.89E-20
4788.7  1.86E-20  1.86E-20
4798  1.84E-20  1.84E-20
4807.3  1.81E-20  1.81E-20
4816.6  1.78E-20  1.78E-20
4826  1.74E-20  1.74E-20
4835.4  1.71E-20  1.71E-20
4844.8  1.67E-20  1.67E-20
4854.3  1.63E-20  1.63E-20
4863.8  1.59E-20  1.59E-20
4873.4  1.55E-20  1.55E-20
4883  1.50E-20  1.50E-20
4892.6  1.46E-20  1.46E-20
4902.3  1.41E-20  1.41E-20
4912  1.37E-20  1.37E-20
4921.8  1.32E-20  1.32E-20
4931.6  1.28E-20  1.28E-20
4941.4  1.23E-20  1.23E-20
4951.2  1.18E-20  1.18E-20
4961.2  1.14E-20  1.14E-20
4971.1  1.09E-20  1.09E-20
4981.1  1.04E-20  1.04E-20
4991.1  9.97E-21  9.97E-21
5001.2  9.51E-21  9.51E-21
5011.3  9.06E-21  9.06E-21
5021.4  8.61E-21  8.61E-21
5031.6  8.16E-21  8.16E-21
5041.9  7.73E-21  7.73E-21
5052.1  7.30E-21  7.30E-21
5062.4  6.88E-21  6.88E-21
5072.8  6.47E-21  6.47E-21
5083.2  6.07E-21  6.07E-21
5093.6  5.68E-21  5.68E-21
5104.1  5.31E-21  5.31E-21
5114.6  4.95E-21  4.95E-21
5125.2  4.60E-21  4.60E-21
5135.8  4.26E-21  4.26E-21
5146.5  3.95E-21  3.95E-21
5157.2  3.64E-21  3.64E-21
5167.9  3.35E-21  3.35E-21
5178.7  3.08E-21  3.08E-21
5189.6  2.82E-21  2.82E-21
5200.5  2.58E-21  2.58E-21
5211.4  2.35E-21  2.35E-21
5222.4  2.13E-21  2.13E-21
5233.4  1.93E-21  1.93E-21
5244.5  1.75E-21  1.75E-21
5255.6  1.57E-21  1.57E-21
5266.7  1.41E-21  1.41E-21
5277.9  1.27E-21  1.27E-21
5289.2  1.13E-21  1.13E-21
5300.5  1.00E-21  1.00E-21
5311.9  8.91E-22  8.91E-22
5323.3  7.88E-22  7.88E-22
5334.7  6.94E-22  6.94E-22
5346.2  6.09E-22  6.09E-22
5357.8  5.33E-22  5.33E-22
5369.4  4.65E-22  4.65E-22
5381  4.04E-22  4.04E-22
5392.7  3.49E-22  3.49E-22
5404.5  3.01E-22  3.01E-22
5416.3  2.58E-22  2.58E-22
5428.1  2.21E-22  2.21E-22
5440.1  1.88E-22  1.88E-22
5452  1.59E-22  1.59E-22
5464  1.34E-22  1.34E-22
5476.1  1.12E-22  1.12E-22
5488.2  9.30E-23  9.30E-23
5500.4  7.70E-23  7.70E-23
5512.6  6.40E-23  6.40E-23
5524.9  5.20E-23  5.20E-23
5537.2  4.20E-23  4.20E-23
5549.6  3.40E-23  3.40E-23
5562.1  2.80E-23  2.80E-23
5574.6  2.20E-23  2.20E-23
5587.1  1.70E-23  1.70E-23
5599.8  1.40E-23  1.40E-23
5612.4  1.10E-23  1.10E-23
5625.2  8.00E-24  8.00E-24
5638  6.00E-24  6.00E-24
5650.8  5.00E-24  5.00E-24
