0          References for Cross Section of 34SO3        
Sander 2011
0 Branching ratio for 34SO3      Total        1 branches
Lambda Total 34SO2/O 
2272  9.57E-20  9.57E-20
2272.5  9.53E-20  9.53E-20
2273  9.48E-20  9.48E-20
2273.5  9.44E-20  9.44E-20
2274  9.40E-20  9.40E-20
2274.5  9.35E-20  9.35E-20
2275  9.31E-20  9.31E-20
2275.5  9.27E-20  9.27E-20
2276  9.22E-20  9.22E-20
2276.5  9.18E-20  9.18E-20
2277  9.14E-20  9.14E-20
2277.5  9.10E-20  9.10E-20
2278  9.05E-20  9.05E-20
2278.5  9.01E-20  9.01E-20
2279  8.97E-20  8.97E-20
2279.5  8.92E-20  8.92E-20
2280  8.88E-20  8.88E-20
2280.5  8.85E-20  8.85E-20
2281  8.81E-20  8.81E-20
2281.5  8.78E-20  8.78E-20
2282  8.74E-20  8.74E-20
2282.5  8.71E-20  8.71E-20
2283  8.67E-20  8.67E-20
2283.5  8.64E-20  8.64E-20
2284  8.60E-20  8.60E-20
2284.5  8.57E-20  8.57E-20
2285  8.53E-20  8.53E-20
2285.5  8.50E-20  8.50E-20
2286  8.46E-20  8.46E-20
2286.5  8.43E-20  8.43E-20
2287  8.39E-20  8.39E-20
2287.5  8.36E-20  8.36E-20
2288  8.32E-20  8.32E-20
2288.5  8.29E-20  8.29E-20
2289  8.25E-20  8.25E-20
2289.5  8.22E-20  8.22E-20
2290  8.19E-20  8.19E-20
2290.5  8.15E-20  8.15E-20
2291  8.12E-20  8.12E-20
2291.5  8.08E-20  8.08E-20
2292  8.05E-20  8.05E-20
2292.5  8.01E-20  8.01E-20
2293  7.98E-20  7.98E-20
2293.5  7.94E-20  7.94E-20
2294  7.91E-20  7.91E-20
2294.5  7.87E-20  7.87E-20
2295  7.84E-20  7.84E-20
2295.5  7.80E-20  7.80E-20
2296  7.77E-20  7.77E-20
2296.5  7.73E-20  7.73E-20
2297  7.70E-20  7.70E-20
2297.5  7.66E-20  7.66E-20
2298  7.63E-20  7.63E-20
2298.5  7.59E-20  7.59E-20
2299  7.56E-20  7.56E-20
2299.5  7.52E-20  7.52E-20
2300  7.49E-20  7.49E-20
2300.5  7.47E-20  7.47E-20
2301  7.44E-20  7.44E-20
2301.5  7.42E-20  7.42E-20
2302  7.39E-20  7.39E-20
2302.5  7.37E-20  7.37E-20
2303  7.34E-20  7.34E-20
2303.5  7.32E-20  7.32E-20
2304  7.29E-20  7.29E-20
2304.5  7.27E-20  7.27E-20
2305  7.25E-20  7.25E-20
2305.5  7.22E-20  7.22E-20
2306  7.20E-20  7.20E-20
2306.5  7.17E-20  7.17E-20
2307  7.15E-20  7.15E-20
2307.5  7.12E-20  7.12E-20
2308  7.10E-20  7.10E-20
2308.5  7.07E-20  7.07E-20
2309  7.05E-20  7.05E-20
2309.5  7.02E-20  7.02E-20
2310  7.00E-20  7.00E-20
2310.5  6.98E-20  6.98E-20
2311  6.95E-20  6.95E-20
2311.5  6.93E-20  6.93E-20
2312  6.90E-20  6.90E-20
2312.5  6.88E-20  6.88E-20
2313  6.85E-20  6.85E-20
2313.5  6.83E-20  6.83E-20
2314  6.80E-20  6.80E-20
2314.5  6.78E-20  6.78E-20
2315  6.76E-20  6.76E-20
2315.5  6.73E-20  6.73E-20
2316  6.71E-20  6.71E-20
2316.5  6.68E-20  6.68E-20
2317  6.66E-20  6.66E-20
2317.5  6.63E-20  6.63E-20
2318  6.61E-20  6.61E-20
2318.5  6.58E-20  6.58E-20
2319  6.56E-20  6.56E-20
2319.5  6.53E-20  6.53E-20
2320  6.51E-20  6.51E-20
2320.5  6.49E-20  6.49E-20
2321  6.47E-20  6.47E-20
2321.5  6.44E-20  6.44E-20
2322  6.42E-20  6.42E-20
2322.5  6.40E-20  6.40E-20
2323  6.38E-20  6.38E-20
2323.5  6.35E-20  6.35E-20
2324  6.33E-20  6.33E-20
2324.5  6.31E-20  6.31E-20
2325  6.29E-20  6.29E-20
2325.5  6.27E-20  6.27E-20
2326  6.24E-20  6.24E-20
2326.5  6.22E-20  6.22E-20
2327  6.20E-20  6.20E-20
2327.5  6.18E-20  6.18E-20
2328  6.15E-20  6.15E-20
2328.5  6.13E-20  6.13E-20
2329  6.11E-20  6.11E-20
2329.5  6.09E-20  6.09E-20
2330  6.07E-20  6.07E-20
2330.5  6.04E-20  6.04E-20
2331  6.02E-20  6.02E-20
2331.5  6.00E-20  6.00E-20
2332  5.98E-20  5.98E-20
2332.5  5.95E-20  5.95E-20
2333  5.93E-20  5.93E-20
2333.5  5.91E-20  5.91E-20
2334  5.89E-20  5.89E-20
2334.5  5.86E-20  5.86E-20
2335  5.84E-20  5.84E-20
2335.5  5.82E-20  5.82E-20
2336  5.80E-20  5.80E-20
2336.5  5.78E-20  5.78E-20
2337  5.75E-20  5.75E-20
2337.5  5.73E-20  5.73E-20
2338  5.71E-20  5.71E-20
2338.5  5.69E-20  5.69E-20
2339  5.66E-20  5.66E-20
2339.5  5.64E-20  5.64E-20
2340  5.62E-20  5.62E-20
2340.5  5.60E-20  5.60E-20
2341  5.58E-20  5.58E-20
2341.5  5.56E-20  5.56E-20
2342  5.55E-20  5.55E-20
2342.5  5.53E-20  5.53E-20
2343  5.51E-20  5.51E-20
2343.5  5.49E-20  5.49E-20
2344  5.47E-20  5.47E-20
2344.5  5.45E-20  5.45E-20
2345  5.43E-20  5.43E-20
2345.5  5.41E-20  5.41E-20
2346  5.40E-20  5.40E-20
2346.5  5.38E-20  5.38E-20
2347  5.36E-20  5.36E-20
2347.5  5.34E-20  5.34E-20
2348  5.32E-20  5.32E-20
2348.5  5.30E-20  5.30E-20
2349  5.28E-20  5.28E-20
2349.5  5.26E-20  5.26E-20
2350  5.25E-20  5.25E-20
2350.5  5.23E-20  5.23E-20
2351  5.21E-20  5.21E-20
2351.5  5.19E-20  5.19E-20
2352  5.17E-20  5.17E-20
2352.5  5.15E-20  5.15E-20
2353  5.13E-20  5.13E-20
2353.5  5.11E-20  5.11E-20
2354  5.10E-20  5.10E-20
2354.5  5.08E-20  5.08E-20
2355  5.06E-20  5.06E-20
2355.5  5.04E-20  5.04E-20
2356  5.02E-20  5.02E-20
2356.5  5.00E-20  5.00E-20
2357  4.98E-20  4.98E-20
2357.5  4.96E-20  4.96E-20
2358  4.95E-20  4.95E-20
2358.5  4.93E-20  4.93E-20
2359  4.91E-20  4.91E-20
2359.5  4.89E-20  4.89E-20
2360  4.87E-20  4.87E-20
2360.5  4.85E-20  4.85E-20
2361  4.84E-20  4.84E-20
2361.5  4.82E-20  4.82E-20
2362  4.81E-20  4.81E-20
2362.5  4.79E-20  4.79E-20
2363  4.78E-20  4.78E-20
2363.5  4.76E-20  4.76E-20
2364  4.74E-20  4.74E-20
2364.5  4.73E-20  4.73E-20
2365  4.71E-20  4.71E-20
2365.5  4.70E-20  4.70E-20
2366  4.68E-20  4.68E-20
2366.5  4.67E-20  4.67E-20
2367  4.65E-20  4.65E-20
2367.5  4.63E-20  4.63E-20
2368  4.62E-20  4.62E-20
2368.5  4.60E-20  4.60E-20
2369  4.59E-20  4.59E-20
2369.5  4.57E-20  4.57E-20
2370  4.56E-20  4.56E-20
2370.5  4.54E-20  4.54E-20
2371  4.52E-20  4.52E-20
2371.5  4.51E-20  4.51E-20
2372  4.49E-20  4.49E-20
2372.5  4.48E-20  4.48E-20
2373  4.46E-20  4.46E-20
2373.5  4.44E-20  4.44E-20
2374  4.43E-20  4.43E-20
2374.5  4.41E-20  4.41E-20
2375  4.40E-20  4.40E-20
2375.5  4.38E-20  4.38E-20
2376  4.37E-20  4.37E-20
2376.5  4.35E-20  4.35E-20
2377  4.33E-20  4.33E-20
2377.5  4.32E-20  4.32E-20
2378  4.30E-20  4.30E-20
2378.5  4.29E-20  4.29E-20
2379  4.27E-20  4.27E-20
2379.5  4.26E-20  4.26E-20
2380  4.24E-20  4.24E-20
2380.5  4.23E-20  4.23E-20
2381  4.21E-20  4.21E-20
2381.5  4.20E-20  4.20E-20
2382  4.19E-20  4.19E-20
2382.5  4.17E-20  4.17E-20
2383  4.16E-20  4.16E-20
2383.5  4.14E-20  4.14E-20
2384  4.13E-20  4.13E-20
2384.5  4.12E-20  4.12E-20
2385  4.10E-20  4.10E-20
2385.5  4.09E-20  4.09E-20
2386  4.08E-20  4.08E-20
2386.5  4.06E-20  4.06E-20
2387  4.05E-20  4.05E-20
2387.5  4.03E-20  4.03E-20
2388  4.02E-20  4.02E-20
2388.5  4.01E-20  4.01E-20
2389  3.99E-20  3.99E-20
2389.5  3.98E-20  3.98E-20
2390  3.97E-20  3.97E-20
2390.5  3.95E-20  3.95E-20
2391  3.94E-20  3.94E-20
2391.5  3.92E-20  3.92E-20
2392  3.91E-20  3.91E-20
2392.5  3.90E-20  3.90E-20
2393  3.88E-20  3.88E-20
2393.5  3.87E-20  3.87E-20
2394  3.86E-20  3.86E-20
2394.5  3.84E-20  3.84E-20
2395  3.83E-20  3.83E-20
2395.5  3.81E-20  3.81E-20
2396  3.80E-20  3.80E-20
2396.5  3.79E-20  3.79E-20
2397  3.77E-20  3.77E-20
2397.5  3.76E-20  3.76E-20
2398  3.75E-20  3.75E-20
2398.5  3.73E-20  3.73E-20
2399  3.72E-20  3.72E-20
2399.5  3.70E-20  3.70E-20
2400  3.69E-20  3.69E-20
2400.5  3.68E-20  3.68E-20
2401  3.67E-20  3.67E-20
2401.5  3.65E-20  3.65E-20
2402  3.64E-20  3.64E-20
2402.5  3.63E-20  3.63E-20
2403  3.62E-20  3.62E-20
2403.5  3.61E-20  3.61E-20
2404  3.59E-20  3.59E-20
2404.5  3.58E-20  3.58E-20
2405  3.57E-20  3.57E-20
2405.5  3.56E-20  3.56E-20
2406  3.55E-20  3.55E-20
2406.5  3.53E-20  3.53E-20
2407  3.52E-20  3.52E-20
2407.5  3.51E-20  3.51E-20
2408  3.50E-20  3.50E-20
2408.5  3.49E-20  3.49E-20
2409  3.47E-20  3.47E-20
2409.5  3.46E-20  3.46E-20
2410  3.45E-20  3.45E-20
2410.5  3.44E-20  3.44E-20
2411  3.43E-20  3.43E-20
2411.5  3.41E-20  3.41E-20
2412  3.40E-20  3.40E-20
2412.5  3.39E-20  3.39E-20
2413  3.38E-20  3.38E-20
2413.5  3.37E-20  3.37E-20
2414  3.35E-20  3.35E-20
2414.5  3.34E-20  3.34E-20
2415  3.33E-20  3.33E-20
2415.5  3.32E-20  3.32E-20
2416  3.31E-20  3.31E-20
2416.5  3.29E-20  3.29E-20
2417  3.28E-20  3.28E-20
2417.5  3.27E-20  3.27E-20
2418  3.26E-20  3.26E-20
2418.5  3.25E-20  3.25E-20
2419  3.23E-20  3.23E-20
2419.5  3.22E-20  3.22E-20
2420  3.21E-20  3.21E-20
2420.5  3.20E-20  3.20E-20
2421  3.19E-20  3.19E-20
2421.5  3.18E-20  3.18E-20
2422  3.17E-20  3.17E-20
2422.5  3.16E-20  3.16E-20
2423  3.15E-20  3.15E-20
2423.5  3.14E-20  3.14E-20
2424  3.13E-20  3.13E-20
2424.5  3.12E-20  3.12E-20
2425  3.11E-20  3.11E-20
2425.5  3.09E-20  3.09E-20
2426  3.08E-20  3.08E-20
2426.5  3.07E-20  3.07E-20
2427  3.06E-20  3.06E-20
2427.5  3.05E-20  3.05E-20
2428  3.04E-20  3.04E-20
2428.5  3.03E-20  3.03E-20
2429  3.02E-20  3.02E-20
2429.5  3.01E-20  3.01E-20
2430  3.00E-20  3.00E-20
2430.5  2.99E-20  2.99E-20
2431  2.98E-20  2.98E-20
2431.5  2.97E-20  2.97E-20
2432  2.96E-20  2.96E-20
2432.5  2.95E-20  2.95E-20
2433  2.94E-20  2.94E-20
2433.5  2.93E-20  2.93E-20
2434  2.92E-20  2.92E-20
2434.5  2.91E-20  2.91E-20
2435  2.90E-20  2.90E-20
2435.5  2.88E-20  2.88E-20
2436  2.87E-20  2.87E-20
2436.5  2.86E-20  2.86E-20
2437  2.85E-20  2.85E-20
2437.5  2.84E-20  2.84E-20
2438  2.83E-20  2.83E-20
2438.5  2.82E-20  2.82E-20
2439  2.81E-20  2.81E-20
2439.5  2.80E-20  2.80E-20
2440  2.79E-20  2.79E-20
2440.5  2.78E-20  2.78E-20
2441  2.77E-20  2.77E-20
2441.5  2.76E-20  2.76E-20
2442  2.75E-20  2.75E-20
2442.5  2.74E-20  2.74E-20
2443  2.73E-20  2.73E-20
2443.5  2.72E-20  2.72E-20
2444  2.71E-20  2.71E-20
2444.5  2.70E-20  2.70E-20
2445  2.70E-20  2.70E-20
2445.5  2.69E-20  2.69E-20
2446  2.68E-20  2.68E-20
2446.5  2.67E-20  2.67E-20
2447  2.66E-20  2.66E-20
2447.5  2.65E-20  2.65E-20
2448  2.64E-20  2.64E-20
2448.5  2.63E-20  2.63E-20
2449  2.62E-20  2.62E-20
2449.5  2.61E-20  2.61E-20
2450  2.60E-20  2.60E-20
2450.5  2.59E-20  2.59E-20
2451  2.58E-20  2.58E-20
2451.5  2.57E-20  2.57E-20
2452  2.56E-20  2.56E-20
2452.5  2.55E-20  2.55E-20
2453  2.54E-20  2.54E-20
2453.5  2.53E-20  2.53E-20
2454  2.52E-20  2.52E-20
2454.5  2.51E-20  2.51E-20
2455  2.51E-20  2.51E-20
2455.5  2.50E-20  2.50E-20
2456  2.49E-20  2.49E-20
2456.5  2.48E-20  2.48E-20
2457  2.47E-20  2.47E-20
2457.5  2.46E-20  2.46E-20
2458  2.45E-20  2.45E-20
2458.5  2.44E-20  2.44E-20
2459  2.43E-20  2.43E-20
2459.5  2.42E-20  2.42E-20
2460  2.41E-20  2.41E-20
2460.5  2.40E-20  2.40E-20
2461  2.39E-20  2.39E-20
2461.5  2.39E-20  2.39E-20
2462  2.38E-20  2.38E-20
2462.5  2.37E-20  2.37E-20
2463  2.36E-20  2.36E-20
2463.5  2.35E-20  2.35E-20
2464  2.35E-20  2.35E-20
2464.5  2.34E-20  2.34E-20
2465  2.33E-20  2.33E-20
2465.5  2.32E-20  2.32E-20
2466  2.31E-20  2.31E-20
2466.5  2.31E-20  2.31E-20
2467  2.30E-20  2.30E-20
2467.5  2.29E-20  2.29E-20
2468  2.28E-20  2.28E-20
2468.5  2.27E-20  2.27E-20
2469  2.27E-20  2.27E-20
2469.5  2.26E-20  2.26E-20
2470  2.25E-20  2.25E-20
2470.5  2.24E-20  2.24E-20
2471  2.23E-20  2.23E-20
2471.5  2.23E-20  2.23E-20
2472  2.22E-20  2.22E-20
2472.5  2.21E-20  2.21E-20
2473  2.20E-20  2.20E-20
2473.5  2.19E-20  2.19E-20
2474  2.19E-20  2.19E-20
2474.5  2.18E-20  2.18E-20
2475  2.17E-20  2.17E-20
2475.5  2.16E-20  2.16E-20
2476  2.15E-20  2.15E-20
2476.5  2.15E-20  2.15E-20
2477  2.14E-20  2.14E-20
2477.5  2.13E-20  2.13E-20
2478  2.12E-20  2.12E-20
2478.5  2.11E-20  2.11E-20
2479  2.11E-20  2.11E-20
2479.5  2.10E-20  2.10E-20
2480  2.09E-20  2.09E-20
2480.5  2.08E-20  2.08E-20
2481  2.08E-20  2.08E-20
2481.5  2.07E-20  2.07E-20
2482  2.06E-20  2.06E-20
2482.5  2.05E-20  2.05E-20
2483  2.05E-20  2.05E-20
2483.5  2.04E-20  2.04E-20
2484  2.03E-20  2.03E-20
2484.5  2.02E-20  2.02E-20
2485  2.02E-20  2.02E-20
2485.5  2.01E-20  2.01E-20
2486  2.00E-20  2.00E-20
2486.5  2.00E-20  2.00E-20
2487  1.99E-20  1.99E-20
2487.5  1.98E-20  1.98E-20
2488  1.97E-20  1.97E-20
2488.5  1.97E-20  1.97E-20
2489  1.96E-20  1.96E-20
2489.5  1.95E-20  1.95E-20
2490  1.95E-20  1.95E-20
2490.5  1.94E-20  1.94E-20
2491  1.93E-20  1.93E-20
2491.5  1.92E-20  1.92E-20
2492  1.92E-20  1.92E-20
2492.5  1.91E-20  1.91E-20
2493  1.90E-20  1.90E-20
2493.5  1.89E-20  1.89E-20
2494  1.89E-20  1.89E-20
2494.5  1.88E-20  1.88E-20
2495  1.87E-20  1.87E-20
2495.5  1.87E-20  1.87E-20
2496  1.86E-20  1.86E-20
2496.5  1.85E-20  1.85E-20
2497  1.84E-20  1.84E-20
2497.5  1.84E-20  1.84E-20
2498  1.83E-20  1.83E-20
2498.5  1.82E-20  1.82E-20
2499  1.81E-20  1.81E-20
2499.5  1.81E-20  1.81E-20
2500  1.80E-20  1.80E-20
2500.5  1.79E-20  1.79E-20
2501  1.79E-20  1.79E-20
2501.5  1.78E-20  1.78E-20
2502  1.78E-20  1.78E-20
2502.5  1.77E-20  1.77E-20
2503  1.76E-20  1.76E-20
2503.5  1.76E-20  1.76E-20
2504  1.75E-20  1.75E-20
2504.5  1.75E-20  1.75E-20
2505  1.74E-20  1.74E-20
2505.5  1.73E-20  1.73E-20
2506  1.73E-20  1.73E-20
2506.5  1.72E-20  1.72E-20
2507  1.72E-20  1.72E-20
2507.5  1.71E-20  1.71E-20
2508  1.70E-20  1.70E-20
2508.5  1.70E-20  1.70E-20
2509  1.69E-20  1.69E-20
2509.5  1.69E-20  1.69E-20
2510  1.68E-20  1.68E-20
2510.5  1.67E-20  1.67E-20
2511  1.67E-20  1.67E-20
2511.5  1.66E-20  1.66E-20
2512  1.66E-20  1.66E-20
2512.5  1.65E-20  1.65E-20
2513  1.64E-20  1.64E-20
2513.5  1.64E-20  1.64E-20
2514  1.63E-20  1.63E-20
2514.5  1.63E-20  1.63E-20
2515  1.62E-20  1.62E-20
2515.5  1.61E-20  1.61E-20
2516  1.61E-20  1.61E-20
2516.5  1.60E-20  1.60E-20
2517  1.60E-20  1.60E-20
2517.5  1.59E-20  1.59E-20
2518  1.58E-20  1.58E-20
2518.5  1.58E-20  1.58E-20
2519  1.57E-20  1.57E-20
2519.5  1.57E-20  1.57E-20
2520  1.56E-20  1.56E-20
2520.5  1.55E-20  1.55E-20
2521  1.55E-20  1.55E-20
2521.5  1.54E-20  1.54E-20
2522  1.54E-20  1.54E-20
2522.5  1.53E-20  1.53E-20
2523  1.53E-20  1.53E-20
2523.5  1.52E-20  1.52E-20
2524  1.52E-20  1.52E-20
2524.5  1.51E-20  1.51E-20
2525  1.51E-20  1.51E-20
2525.5  1.50E-20  1.50E-20
2526  1.49E-20  1.49E-20
2526.5  1.49E-20  1.49E-20
2527  1.48E-20  1.48E-20
2527.5  1.48E-20  1.48E-20
2528  1.47E-20  1.47E-20
2528.5  1.47E-20  1.47E-20
2529  1.46E-20  1.46E-20
2529.5  1.46E-20  1.46E-20
2530  1.45E-20  1.45E-20
2530.5  1.44E-20  1.44E-20
2531  1.44E-20  1.44E-20
2531.5  1.43E-20  1.43E-20
2532  1.43E-20  1.43E-20
2532.5  1.42E-20  1.42E-20
2533  1.42E-20  1.42E-20
2533.5  1.41E-20  1.41E-20
2534  1.41E-20  1.41E-20
2534.5  1.40E-20  1.40E-20
2535  1.40E-20  1.40E-20
2535.5  1.39E-20  1.39E-20
2536  1.38E-20  1.38E-20
2536.5  1.38E-20  1.38E-20
2537  1.37E-20  1.37E-20
2537.5  1.37E-20  1.37E-20
2538  1.36E-20  1.36E-20
2538.5  1.36E-20  1.36E-20
2539  1.35E-20  1.35E-20
2539.5  1.35E-20  1.35E-20
2540  1.34E-20  1.34E-20
2540.5  1.34E-20  1.34E-20
2541  1.33E-20  1.33E-20
2541.5  1.33E-20  1.33E-20
2542  1.32E-20  1.32E-20
2542.5  1.32E-20  1.32E-20
2543  1.31E-20  1.31E-20
2543.5  1.31E-20  1.31E-20
2544  1.30E-20  1.30E-20
2544.5  1.30E-20  1.30E-20
2545  1.30E-20  1.30E-20
2545.5  1.29E-20  1.29E-20
2546  1.29E-20  1.29E-20
2546.5  1.28E-20  1.28E-20
2547  1.28E-20  1.28E-20
2547.5  1.27E-20  1.27E-20
2548  1.27E-20  1.27E-20
2548.5  1.26E-20  1.26E-20
2549  1.26E-20  1.26E-20
2549.5  1.25E-20  1.25E-20
2550  1.25E-20  1.25E-20
2550.5  1.25E-20  1.25E-20
2551  1.24E-20  1.24E-20
2551.5  1.24E-20  1.24E-20
2552  1.23E-20  1.23E-20
2552.5  1.23E-20  1.23E-20
2553  1.22E-20  1.22E-20
2553.5  1.22E-20  1.22E-20
2554  1.21E-20  1.21E-20
2554.5  1.21E-20  1.21E-20
2555  1.21E-20  1.21E-20
2555.5  1.20E-20  1.20E-20
2556  1.20E-20  1.20E-20
2556.5  1.19E-20  1.19E-20
2557  1.19E-20  1.19E-20
2557.5  1.18E-20  1.18E-20
2558  1.18E-20  1.18E-20
2558.5  1.17E-20  1.17E-20
2559  1.17E-20  1.17E-20
2559.5  1.16E-20  1.16E-20
2560  1.16E-20  1.16E-20
2560.5  1.16E-20  1.16E-20
2561  1.15E-20  1.15E-20
2561.5  1.15E-20  1.15E-20
2562  1.14E-20  1.14E-20
2562.5  1.14E-20  1.14E-20
2563  1.14E-20  1.14E-20
2563.5  1.13E-20  1.13E-20
2564  1.13E-20  1.13E-20
2564.5  1.12E-20  1.12E-20
2565  1.12E-20  1.12E-20
2565.5  1.12E-20  1.12E-20
2566  1.11E-20  1.11E-20
2566.5  1.11E-20  1.11E-20
2567  1.10E-20  1.10E-20
2567.5  1.10E-20  1.10E-20
2568  1.10E-20  1.10E-20
2568.5  1.09E-20  1.09E-20
2569  1.09E-20  1.09E-20
2569.5  1.08E-20  1.08E-20
2570  1.08E-20  1.08E-20
2570.5  1.08E-20  1.08E-20
2571  1.07E-20  1.07E-20
2571.5  1.07E-20  1.07E-20
2572  1.06E-20  1.06E-20
2572.5  1.06E-20  1.06E-20
2573  1.06E-20  1.06E-20
2573.5  1.05E-20  1.05E-20
2574  1.05E-20  1.05E-20
2574.5  1.04E-20  1.04E-20
2575  1.04E-20  1.04E-20
2575.5  1.04E-20  1.04E-20
2576  1.03E-20  1.03E-20
2576.5  1.03E-20  1.03E-20
2577  1.02E-20  1.02E-20
2577.5  1.02E-20  1.02E-20
2578  1.02E-20  1.02E-20
2578.5  1.01E-20  1.01E-20
2579  1.01E-20  1.01E-20
2579.5  1.00E-20  1.00E-20
2580  1.00E-20  1.00E-20
2580.5  9.97E-21  9.97E-21
2581  9.93E-21  9.93E-21
2581.5  9.90E-21  9.90E-21
2582  9.87E-21  9.87E-21
2582.5  9.83E-21  9.83E-21
2583  9.80E-21  9.80E-21
2583.5  9.77E-21  9.77E-21
2584  9.73E-21  9.73E-21
2584.5  9.70E-21  9.70E-21
2585  9.67E-21  9.67E-21
2585.5  9.63E-21  9.63E-21
2586  9.60E-21  9.60E-21
2586.5  9.57E-21  9.57E-21
2587  9.53E-21  9.53E-21
2587.5  9.50E-21  9.50E-21
2588  9.47E-21  9.47E-21
2588.5  9.43E-21  9.43E-21
2589  9.40E-21  9.40E-21
2589.5  9.37E-21  9.37E-21
2590  9.34E-21  9.34E-21
2590.5  9.30E-21  9.30E-21
2591  9.27E-21  9.27E-21
2591.5  9.24E-21  9.24E-21
2592  9.20E-21  9.20E-21
2592.5  9.17E-21  9.17E-21
2593  9.14E-21  9.14E-21
2593.5  9.10E-21  9.10E-21
2594  9.07E-21  9.07E-21
2594.5  9.04E-21  9.04E-21
2595  9.00E-21  9.00E-21
2595.5  8.97E-21  8.97E-21
2596  8.94E-21  8.94E-21
2596.5  8.90E-21  8.90E-21
2597  8.87E-21  8.87E-21
2597.5  8.84E-21  8.84E-21
2598  8.80E-21  8.80E-21
2598.5  8.77E-21  8.77E-21
2599  8.74E-21  8.74E-21
2599.5  8.70E-21  8.70E-21
2600  8.67E-21  8.67E-21
2600.5  8.64E-21  8.64E-21
2601  8.61E-21  8.61E-21
2601.5  8.58E-21  8.58E-21
2602  8.55E-21  8.55E-21
2602.5  8.52E-21  8.52E-21
2603  8.49E-21  8.49E-21
2603.5  8.47E-21  8.47E-21
2604  8.44E-21  8.44E-21
2604.5  8.41E-21  8.41E-21
2605  8.38E-21  8.38E-21
2605.5  8.35E-21  8.35E-21
2606  8.32E-21  8.32E-21
2606.5  8.29E-21  8.29E-21
2607  8.26E-21  8.26E-21
2607.5  8.23E-21  8.23E-21
2608  8.20E-21  8.20E-21
2608.5  8.17E-21  8.17E-21
2609  8.14E-21  8.14E-21
2609.5  8.11E-21  8.11E-21
2610  8.09E-21  8.09E-21
2610.5  8.06E-21  8.06E-21
2611  8.03E-21  8.03E-21
2611.5  8.00E-21  8.00E-21
2612  7.97E-21  7.97E-21
2612.5  7.94E-21  7.94E-21
2613  7.91E-21  7.91E-21
2613.5  7.88E-21  7.88E-21
2614  7.85E-21  7.85E-21
2614.5  7.82E-21  7.82E-21
2615  7.79E-21  7.79E-21
2615.5  7.76E-21  7.76E-21
2616  7.73E-21  7.73E-21
2616.5  7.70E-21  7.70E-21
2617  7.68E-21  7.68E-21
2617.5  7.65E-21  7.65E-21
2618  7.62E-21  7.62E-21
2618.5  7.59E-21  7.59E-21
2619  7.56E-21  7.56E-21
2619.5  7.53E-21  7.53E-21
2620  7.50E-21  7.50E-21
2620.5  7.47E-21  7.47E-21
2621  7.45E-21  7.45E-21
2621.5  7.42E-21  7.42E-21
2622  7.40E-21  7.40E-21
2622.5  7.37E-21  7.37E-21
2623  7.35E-21  7.35E-21
2623.5  7.32E-21  7.32E-21
2624  7.30E-21  7.30E-21
2624.5  7.27E-21  7.27E-21
2625  7.25E-21  7.25E-21
2625.5  7.22E-21  7.22E-21
2626  7.19E-21  7.19E-21
2626.5  7.17E-21  7.17E-21
2627  7.14E-21  7.14E-21
2627.5  7.12E-21  7.12E-21
2628  7.09E-21  7.09E-21
2628.5  7.07E-21  7.07E-21
2629  7.04E-21  7.04E-21
2629.5  7.02E-21  7.02E-21
2630  6.99E-21  6.99E-21
2630.5  6.96E-21  6.96E-21
2631  6.94E-21  6.94E-21
2631.5  6.91E-21  6.91E-21
2632  6.89E-21  6.89E-21
2632.5  6.86E-21  6.86E-21
2633  6.84E-21  6.84E-21
2633.5  6.81E-21  6.81E-21
2634  6.79E-21  6.79E-21
2634.5  6.76E-21  6.76E-21
2635  6.74E-21  6.74E-21
2635.5  6.71E-21  6.71E-21
2636  6.68E-21  6.68E-21
2636.5  6.66E-21  6.66E-21
2637  6.63E-21  6.63E-21
2637.5  6.61E-21  6.61E-21
2638  6.58E-21  6.58E-21
2638.5  6.56E-21  6.56E-21
2639  6.53E-21  6.53E-21
2639.5  6.51E-21  6.51E-21
2640  6.48E-21  6.48E-21
2640.5  6.46E-21  6.46E-21
2641  6.44E-21  6.44E-21
2641.5  6.41E-21  6.41E-21
2642  6.39E-21  6.39E-21
2642.5  6.37E-21  6.37E-21
2643  6.35E-21  6.35E-21
2643.5  6.32E-21  6.32E-21
2644  6.30E-21  6.30E-21
2644.5  6.28E-21  6.28E-21
2645  6.26E-21  6.26E-21
2645.5  6.24E-21  6.24E-21
2646  6.21E-21  6.21E-21
2646.5  6.19E-21  6.19E-21
2647  6.17E-21  6.17E-21
2647.5  6.15E-21  6.15E-21
2648  6.12E-21  6.12E-21
2648.5  6.10E-21  6.10E-21
2649  6.08E-21  6.08E-21
2649.5  6.06E-21  6.06E-21
2650  6.04E-21  6.04E-21
2650.5  6.01E-21  6.01E-21
2651  5.99E-21  5.99E-21
2651.5  5.97E-21  5.97E-21
2652  5.95E-21  5.95E-21
2652.5  5.92E-21  5.92E-21
2653  5.90E-21  5.90E-21
2653.5  5.88E-21  5.88E-21
2654  5.86E-21  5.86E-21
2654.5  5.83E-21  5.83E-21
2655  5.81E-21  5.81E-21
2655.5  5.79E-21  5.79E-21
2656  5.77E-21  5.77E-21
2656.5  5.75E-21  5.75E-21
2657  5.72E-21  5.72E-21
2657.5  5.70E-21  5.70E-21
2658  5.68E-21  5.68E-21
2658.5  5.66E-21  5.66E-21
