0          References for Cross Section of 34SO3        
Sander 2011
0 Branching ratio for 34SO3      Total        1 branches
Lambda Total 34SO2/O 
1987  7.55E-19  7.55E-19
1987.5  7.55E-19  7.55E-19
1988  7.54E-19  7.54E-19
1988.5  7.53E-19  7.53E-19
1989  7.52E-19  7.52E-19
1989.5  7.51E-19  7.51E-19
1990  7.50E-19  7.50E-19
1990.5  7.49E-19  7.49E-19
1991  7.48E-19  7.48E-19
1991.5  7.47E-19  7.47E-19
1992  7.46E-19  7.46E-19
1992.5  7.46E-19  7.46E-19
1993  7.45E-19  7.45E-19
1993.5  7.44E-19  7.44E-19
1994  7.43E-19  7.43E-19
1994.5  7.42E-19  7.42E-19
1995  7.41E-19  7.41E-19
1995.5  7.40E-19  7.40E-19
1996  7.39E-19  7.39E-19
1996.5  7.38E-19  7.38E-19
1997  7.37E-19  7.37E-19
1997.5  7.37E-19  7.37E-19
1998  7.36E-19  7.36E-19
1998.5  7.35E-19  7.35E-19
1999  7.34E-19  7.34E-19
1999.5  7.33E-19  7.33E-19
2000  7.32E-19  7.32E-19
2000.5  7.31E-19  7.31E-19
2001  7.30E-19  7.30E-19
2001.5  7.29E-19  7.29E-19
2002  7.28E-19  7.28E-19
2002.5  7.27E-19  7.27E-19
2003  7.26E-19  7.26E-19
2003.5  7.25E-19  7.25E-19
2004  7.24E-19  7.24E-19
2004.5  7.23E-19  7.23E-19
2005  7.22E-19  7.22E-19
2005.5  7.21E-19  7.21E-19
2006  7.20E-19  7.20E-19
2006.5  7.19E-19  7.19E-19
2007  7.18E-19  7.18E-19
2007.5  7.17E-19  7.17E-19
2008  7.16E-19  7.16E-19
2008.5  7.15E-19  7.15E-19
2009  7.14E-19  7.14E-19
2009.5  7.13E-19  7.13E-19
2010  7.12E-19  7.12E-19
2010.5  7.10E-19  7.10E-19
2011  7.09E-19  7.09E-19
2011.5  7.08E-19  7.08E-19
2012  7.07E-19  7.07E-19
2012.5  7.06E-19  7.06E-19
2013  7.05E-19  7.05E-19
2013.5  7.04E-19  7.04E-19
2014  7.03E-19  7.03E-19
2014.5  7.02E-19  7.02E-19
2015  7.01E-19  7.01E-19
2015.5  7.00E-19  7.00E-19
2016  6.99E-19  6.99E-19
2016.5  6.98E-19  6.98E-19
2017  6.97E-19  6.97E-19
2017.5  6.96E-19  6.96E-19
2018  6.95E-19  6.95E-19
2018.5  6.94E-19  6.94E-19
2019  6.93E-19  6.93E-19
2019.5  6.92E-19  6.92E-19
2020  6.91E-19  6.91E-19
2020.5  6.90E-19  6.90E-19
2021  6.89E-19  6.89E-19
2021.5  6.88E-19  6.88E-19
2022  6.86E-19  6.86E-19
2022.5  6.85E-19  6.85E-19
2023  6.84E-19  6.84E-19
2023.5  6.83E-19  6.83E-19
2024  6.82E-19  6.82E-19
2024.5  6.81E-19  6.81E-19
2025  6.80E-19  6.80E-19
2025.5  6.78E-19  6.78E-19
2026  6.77E-19  6.77E-19
2026.5  6.76E-19  6.76E-19
2027  6.75E-19  6.75E-19
2027.5  6.74E-19  6.74E-19
2028  6.73E-19  6.73E-19
2028.5  6.71E-19  6.71E-19
2029  6.70E-19  6.70E-19
2029.5  6.69E-19  6.69E-19
2030  6.68E-19  6.68E-19
2030.5  6.67E-19  6.67E-19
2031  6.66E-19  6.66E-19
2031.5  6.65E-19  6.65E-19
2032  6.63E-19  6.63E-19
2032.5  6.62E-19  6.62E-19
2033  6.61E-19  6.61E-19
2033.5  6.60E-19  6.60E-19
2034  6.59E-19  6.59E-19
2034.5  6.58E-19  6.58E-19
2035  6.57E-19  6.57E-19
2035.5  6.55E-19  6.55E-19
2036  6.54E-19  6.54E-19
2036.5  6.53E-19  6.53E-19
2037  6.52E-19  6.52E-19
2037.5  6.51E-19  6.51E-19
2038  6.50E-19  6.50E-19
2038.5  6.48E-19  6.48E-19
2039  6.47E-19  6.47E-19
2039.5  6.46E-19  6.46E-19
2040  6.45E-19  6.45E-19
2040.5  6.44E-19  6.44E-19
2041  6.42E-19  6.42E-19
2041.5  6.41E-19  6.41E-19
2042  6.39E-19  6.39E-19
2042.5  6.38E-19  6.38E-19
2043  6.36E-19  6.36E-19
2043.5  6.35E-19  6.35E-19
2044  6.34E-19  6.34E-19
2044.5  6.32E-19  6.32E-19
2045  6.31E-19  6.31E-19
2045.5  6.29E-19  6.29E-19
2046  6.28E-19  6.28E-19
2046.5  6.26E-19  6.26E-19
2047  6.25E-19  6.25E-19
2047.5  6.24E-19  6.24E-19
2048  6.22E-19  6.22E-19
2048.5  6.21E-19  6.21E-19
2049  6.19E-19  6.19E-19
2049.5  6.18E-19  6.18E-19
2050  6.17E-19  6.17E-19
2050.5  6.15E-19  6.15E-19
2051  6.14E-19  6.14E-19
2051.5  6.12E-19  6.12E-19
2052  6.11E-19  6.11E-19
2052.5  6.09E-19  6.09E-19
2053  6.08E-19  6.08E-19
2053.5  6.07E-19  6.07E-19
2054  6.05E-19  6.05E-19
2054.5  6.04E-19  6.04E-19
2055  6.02E-19  6.02E-19
2055.5  6.01E-19  6.01E-19
2056  5.99E-19  5.99E-19
2056.5  5.98E-19  5.98E-19
2057  5.97E-19  5.97E-19
2057.5  5.95E-19  5.95E-19
2058  5.94E-19  5.94E-19
