0          References for Cross Section of 34SO        34S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1902.272199  3.47E-18  3.47E-18
1902.467464  3.48E-18  3.48E-18
1902.652279  3.49E-18  3.49E-18
1902.862447  3.51E-18  3.51E-18
1903.071487  3.51E-18  3.51E-18
1903.266872  3.52E-18  3.52E-18
1903.450648  3.53E-18  3.53E-18
1903.658619  3.51E-18  3.51E-18
1903.867548  3.49E-18  3.49E-18
1904.063527  3.49E-18  3.49E-18
1904.241768  3.49E-18  3.49E-18
1904.441173  3.49E-18  3.49E-18
1904.648281  3.51E-18  3.51E-18
1904.846198  3.52E-18  3.52E-18
1905.023433  3.53E-18  3.53E-18
1905.220607  3.56E-18  3.56E-18
1905.427242  3.60E-18  3.60E-18
1905.6114  3.62E-18  3.62E-18
1905.686518  3.60E-18  3.60E-18
1905.778903  3.58E-18  3.58E-18
1905.891677  3.56E-18  3.56E-18
1906.000783  3.52E-18  3.52E-18
1906.146625  3.46E-18  3.46E-18
1906.297187  3.44E-18  3.44E-18
1906.421837  3.37E-18  3.37E-18
1906.462453  3.77E-18  3.77E-18
1906.470729  4.05E-18  4.05E-18
1906.47962  3.47E-18  3.47E-18
1906.49436  3.73E-18  3.73E-18
1906.520579  3.57E-18  3.57E-18
1906.535101  3.98E-18  3.98E-18
1906.55001  3.48E-18  3.48E-18
1906.561893  4.05E-18  4.05E-18
1906.581087  3.48E-18  3.48E-18
1906.607272  3.91E-18  3.91E-18
1906.620208  4.14E-18  4.14E-18
1906.63237  3.76E-18  3.76E-18
1906.678983  4.08E-18  4.08E-18
1906.693779  4.03E-18  4.03E-18
1906.703558  3.43E-18  3.43E-18
1906.708977  4.15E-18  4.15E-18
1906.714993  5.97E-18  5.97E-18
1906.720689  4.55E-18  4.55E-18
1906.728017  3.48E-18  3.48E-18
1906.742074  4.14E-18  4.14E-18
1906.768045  3.76E-18  3.76E-18
1906.778747  4.33E-18  4.33E-18
1906.784571  7.83E-18  7.83E-18
1906.791547  5.15E-18  5.15E-18
1906.799148  3.50E-18  3.50E-18
1906.809325  4.87E-18  4.87E-18
1906.817914  4.12E-18  4.12E-18
1906.832358  3.64E-18  3.64E-18
1906.853519  4.43E-18  4.43E-18
1906.868324  5.06E-18  5.06E-18
1906.881224  4.04E-18  4.04E-18
1906.898318  4.46E-18  4.46E-18
1906.909323  4.59E-18  4.59E-18
1906.925345  4.75E-18  4.75E-18
1906.938643  4.26E-18  4.26E-18
1906.94896  5.25E-18  5.25E-18
1906.958969  4.09E-18  4.09E-18
1906.997233  3.43E-18  3.43E-18
1907.02889  7.13E-18  7.13E-18
1907.035063  7.80E-18  7.80E-18
1907.041073  7.49E-18  7.49E-18
1907.049232  3.60E-18  3.60E-18
1907.063658  4.06E-18  4.06E-18
1907.082429  3.65E-18  3.65E-18
1907.113582  3.54E-18  3.54E-18
1907.144579  6.78E-18  6.78E-18
1907.151275  9.71E-18  9.71E-18
1907.156638  6.06E-18  6.06E-18
1907.161959  5.55E-18  5.55E-18
1907.17046  3.56E-18  3.56E-18
1907.180195  4.86E-18  4.86E-18
1907.188317  6.88E-18  6.88E-18
1907.194269  6.62E-18  6.62E-18
1907.202198  5.34E-18  5.34E-18
1907.214032  3.98E-18  3.98E-18
1907.226212  6.09E-18  6.09E-18
1907.241405  3.45E-18  3.45E-18
1907.251118  5.76E-18  5.76E-18
1907.258426  6.44E-18  6.44E-18
1907.26941  3.27E-18  3.27E-18
1907.280585  8.38E-18  8.38E-18
1907.288224  1.09E-17  1.09E-17
1907.297587  3.92E-18  3.92E-18
1907.311726  5.92E-18  5.92E-18
1907.323406  4.61E-18  4.61E-18
1907.339887  4.59E-18  4.59E-18
1907.355663  4.15E-18  4.15E-18
1907.366846  6.80E-18  6.80E-18
1907.375631  6.52E-18  6.52E-18
1907.384279  5.81E-18  5.81E-18
1907.399985  4.36E-18  4.36E-18
1907.419432  3.87E-18  3.87E-18
1907.4333  7.36E-18  7.36E-18
1907.44087  9.06E-18  9.06E-18
1907.451374  3.50E-18  3.50E-18
1907.465003  6.10E-18  6.10E-18
1907.476594  6.89E-18  6.89E-18
1907.493523  4.15E-18  4.15E-18
1907.508595  6.48E-18  6.48E-18
1907.526584  4.14E-18  4.14E-18
1907.552882  3.85E-18  3.85E-18
1907.57233  4.01E-18  4.01E-18
1907.583552  6.92E-18  6.92E-18
1907.592808  9.86E-18  9.86E-18
1907.601272  6.42E-18  6.42E-18
1907.613977  5.06E-18  5.06E-18
1907.630446  3.61E-18  3.61E-18
1907.641819  7.43E-18  7.43E-18
1907.665164  3.60E-18  3.60E-18
1907.698116  4.21E-18  4.21E-18
1907.720139  1.07E-17  1.07E-17
1907.73187  5.04E-18  5.04E-18
1907.755492  3.92E-18  3.92E-18
1907.777333  5.13E-18  5.13E-18
1907.785187  1.11E-17  1.11E-17
1907.791979  7.11E-18  7.11E-18
1907.798007  4.44E-18  4.44E-18
1907.804176  7.40E-18  7.40E-18
1907.809985  1.01E-17  1.01E-17
1907.816375  5.02E-18  5.02E-18
1907.82479  4.53E-18  4.53E-18
1907.846335  3.67E-18  3.67E-18
1907.862198  6.47E-18  6.47E-18
1907.867887  7.45E-18  7.45E-18
1907.872503  1.72E-17  1.72E-17
1907.877254  1.46E-17  1.46E-17
1907.88264  9.35E-18  9.35E-18
1907.889537  6.24E-18  6.24E-18
1907.89724  6.03E-18  6.03E-18
1907.907812  4.48E-18  4.48E-18
1907.924373  4.76E-18  4.76E-18
1907.940044  7.76E-18  7.76E-18
1907.951038  6.00E-18  6.00E-18
1907.960587  7.32E-18  7.32E-18
1907.971418  4.43E-18  4.43E-18
1907.98449  4.04E-18  4.04E-18
1907.999257  4.82E-18  4.82E-18
1908.011764  8.75E-18  8.75E-18
1908.019664  9.23E-18  9.23E-18
1908.025899  7.71E-18  7.71E-18
1908.03269  8.83E-18  8.83E-18
1908.041242  9.39E-18  9.39E-18
1908.0486  7.54E-18  7.54E-18
1908.057218  1.00E-17  1.00E-17
1908.084551  3.27E-18  3.27E-18
1908.103422  7.88E-18  7.88E-18
1908.110775  1.15E-17  1.15E-17
1908.117903  6.06E-18  6.06E-18
1908.125344  1.29E-17  1.29E-17
1908.138427  3.67E-18  3.67E-18
1908.164637  5.14E-18  5.14E-18
1908.215113  4.08E-18  4.08E-18
1908.222849  1.02E-17  1.02E-17
1908.228063  2.18E-17  2.18E-17
1908.232582  1.56E-17  1.56E-17
1908.237177  1.22E-17  1.22E-17
1908.243464  9.91E-18  9.91E-18
1908.252281  7.76E-18  7.76E-18
1908.263977  4.03E-18  4.03E-18
1908.277538  4.52E-18  4.52E-18
1908.298401  5.25E-18  5.25E-18
1908.330298  5.67E-18  5.67E-18
1908.346151  5.06E-18  5.06E-18
1908.3572  4.58E-18  4.58E-18
1908.364299  1.67E-17  1.67E-17
1908.37193  1.01E-17  1.01E-17
1908.404805  3.06E-18  3.06E-18
1908.426577  8.71E-18  8.71E-18
1908.437209  8.61E-18  8.61E-18
1908.453818  7.21E-18  7.21E-18
1908.466392  6.93E-18  6.93E-18
1908.485163  3.70E-18  3.70E-18
1908.501198  4.63E-18  4.63E-18
1908.51113  6.69E-18  6.69E-18
1908.519023  1.73E-17  1.73E-17
1908.530414  3.55E-18  3.55E-18
1908.542695  8.31E-18  8.31E-18
1908.559269  4.21E-18  4.21E-18
1908.591644  7.93E-18  7.93E-18
1908.60497  5.61E-18  5.61E-18
1908.634208  3.74E-18  3.74E-18
1908.651583  3.84E-18  3.84E-18
1908.660126  1.29E-17  1.29E-17
1908.666591  8.34E-18  8.34E-18
1908.672658  4.24E-18  4.24E-18
1908.679236  5.18E-18  5.18E-18
1908.684214  1.71E-17  1.71E-17
1908.689376  2.39E-17  2.39E-17
1908.695145  1.44E-17  1.44E-17
1908.708537  3.37E-18  3.37E-18
1908.724382  6.70E-18  6.70E-18
1908.73196  1.41E-17  1.41E-17
1908.741443  3.54E-18  3.54E-18
1908.75584  6.14E-18  6.14E-18
1908.764308  6.69E-18  6.69E-18
1908.769448  9.99E-18  9.99E-18
1908.774679  1.56E-17  1.56E-17
1908.780265  9.33E-18  9.33E-18
1908.785134  1.11E-17  1.11E-17
1908.793338  9.45E-18  9.45E-18
1908.812649  6.37E-18  6.37E-18
1908.824137  7.47E-18  7.47E-18
1908.832735  5.16E-18  5.16E-18
1908.854932  3.21E-18  3.21E-18
1908.870066  2.02E-17  2.02E-17
1908.876683  1.14E-17  1.14E-17
1908.881744  1.12E-17  1.12E-17
1908.888263  1.44E-17  1.44E-17
1908.896281  7.39E-18  7.39E-18
1908.905911  8.60E-18  8.60E-18
1908.918421  6.01E-18  6.01E-18
1908.931582  5.96E-18  5.96E-18
1908.942587  6.71E-18  6.71E-18
1908.963776  8.59E-18  8.59E-18
1908.973136  1.75E-17  1.75E-17
1908.978753  5.22E-18  5.22E-18
1908.991303  6.86E-18  6.86E-18
1909.012244  7.16E-18  7.16E-18
1909.023118  7.62E-18  7.62E-18
1909.039132  5.69E-18  5.69E-18
1909.060408  5.06E-18  5.06E-18
1909.071678  7.60E-18  7.60E-18
1909.078345  1.35E-17  1.35E-17
1909.084919  1.58E-17  1.58E-17
1909.089972  1.16E-17  1.16E-17
1909.097548  1.88E-17  1.88E-17
1909.118598  3.00E-18  3.00E-18
1909.141771  9.45E-18  9.45E-18
1909.152837  3.67E-18  3.67E-18
1909.166178  8.49E-18  8.49E-18
1909.177069  5.75E-18  5.75E-18
1909.189628  7.24E-18  7.24E-18
1909.204103  5.73E-18  5.73E-18
1909.21592  7.68E-18  7.68E-18
1909.225915  1.59E-17  1.59E-17
1909.241171  3.54E-18  3.54E-18
1909.269173  3.96E-18  3.96E-18
1909.29251  9.05E-18  9.05E-18
1909.304423  6.97E-18  6.97E-18
1909.312776  1.05E-17  1.05E-17
1909.320361  1.07E-17  1.07E-17
1909.330736  8.75E-18  8.75E-18
1909.365174  3.64E-18  3.64E-18
1909.372688  2.71E-17  2.71E-17
1909.380343  7.59E-18  7.59E-18
1909.395137  3.53E-18  3.53E-18
1909.418118  5.96E-18  5.96E-18
1909.436315  4.08E-18  4.08E-18
1909.4475  1.48E-17  1.48E-17
1909.459549  3.54E-18  3.54E-18
1909.477143  3.40E-18  3.40E-18
1909.488169  8.40E-18  8.40E-18
1909.502568  5.08E-18  5.08E-18
1909.535555  7.87E-18  7.87E-18
1909.543248  2.93E-17  2.93E-17
1909.550874  9.35E-18  9.35E-18
1909.568647  7.87E-18  7.87E-18
1909.580064  4.63E-18  4.63E-18
1909.590291  3.72E-18  3.72E-18
1909.612324  5.23E-18  5.23E-18
1909.627397  1.08E-17  1.08E-17
1909.638511  6.18E-18  6.18E-18
1909.673244  6.89E-18  6.89E-18
1909.693114  4.30E-18  4.30E-18
1909.71387  4.87E-18  4.87E-18
1909.729958  1.06E-17  1.06E-17
1909.735488  1.58E-17  1.58E-17
1909.739507  1.88E-17  1.88E-17
1909.743783  1.69E-17  1.69E-17
1909.747703  1.54E-17  1.54E-17
1909.752036  5.36E-18  5.36E-18
1909.759105  3.46E-18  3.46E-18
1909.773366  5.74E-18  5.74E-18
1909.794578  5.43E-18  5.43E-18
1909.801663  1.77E-17  1.77E-17
1909.807158  1.57E-17  1.57E-17
1909.811704  1.33E-17  1.33E-17
1909.816421  6.36E-18  6.36E-18
1909.821998  8.80E-18  8.80E-18
1909.828111  1.63E-17  1.63E-17
1909.832769  1.01E-17  1.01E-17
1909.838129  1.64E-17  1.64E-17
1909.844677  1.06E-17  1.06E-17
1909.858882  4.99E-18  4.99E-18
1909.88227  5.00E-18  5.00E-18
1909.900015  8.82E-18  8.82E-18
1909.911676  5.15E-18  5.15E-18
1909.923253  9.67E-18  9.67E-18
1909.931841  1.47E-17  1.47E-17
1909.938837  5.37E-18  5.37E-18
1909.945065  1.90E-17  1.90E-17
1909.951519  1.97E-17  1.97E-17
1909.959064  1.10E-17  1.10E-17
1909.96726  7.27E-18  7.27E-18
1909.976724  8.91E-18  8.91E-18
1909.988192  5.31E-18  5.31E-18
1910.018902  3.03E-18  3.03E-18
