0          References for Cross Section of O32S32SO        
           Frandsen et al., 2020 (cis-OSSO-No isotope)   
0 Branching ratio for O32S32SO       Total        1 branch
Lambda  Total   32SO/32SO
2939.8  3.49554E-18  3.49554E-18
2943.3  3.56782E-18  3.56782E-18
2946.8  3.63665E-18  3.63665E-18
2950.3  3.70199E-18  3.70199E-18
2953.8  3.76381E-18  3.76381E-18
2957.4  3.82213E-18  3.82213E-18
2960.9  3.87694E-18  3.87694E-18
2964.4  3.92825E-18  3.92825E-18
2968  3.97607E-18  3.97607E-18
2971.5  4.02036E-18  4.02036E-18
2975.1  4.06107E-18  4.06107E-18
2978.7  4.09814E-18  4.09814E-18
2982.3  4.13146E-18  4.13146E-18
2985.8  4.16091E-18  4.16091E-18
2989.4  4.18634E-18  4.18634E-18
2993.1  4.20760E-18  4.20760E-18
2996.7  4.22453E-18  4.22453E-18
3000.3  4.23699E-18  4.23699E-18
3003.9  4.24485E-18  4.24485E-18
3007.6  4.24801E-18  4.24801E-18
3011.2  4.24643E-18  4.24643E-18
3014.9  4.24010E-18  4.24010E-18
3018.6  4.22912E-18  4.22912E-18
3022.2  4.21364E-18  4.21364E-18
3025.9  4.19390E-18  4.19390E-18
3029.6  4.17027E-18  4.17027E-18
3033.3  4.14319E-18  4.14319E-18
3037  4.11323E-18  4.11323E-18
3040.8  4.08102E-18  4.08102E-18
3044.5  4.04734E-18  4.04734E-18
3048.2  4.01301E-18  4.01301E-18
3052  3.97893E-18  3.97893E-18
3055.8  3.94606E-18  3.94606E-18
3059.5  3.91538E-18  3.91538E-18
3063.3  3.88786E-18  3.88786E-18
3067.1  3.86449E-18  3.86449E-18
3070.9  3.84618E-18  3.84618E-18
3074.7  3.83380E-18  3.83380E-18
3078.5  3.82812E-18  3.82812E-18
3082.3  3.82983E-18  3.82983E-18
3086.2  3.83952E-18  3.83952E-18
3090  3.85767E-18  3.85767E-18
3093.9  3.88466E-18  3.88466E-18
3097.7  3.92077E-18  3.92077E-18
3101.6  3.96621E-18  3.96621E-18
3105.5  4.02113E-18  4.02113E-18
3109.4  4.08562E-18  4.08562E-18
3113.3  4.15975E-18  4.15975E-18
3117.2  4.24357E-18  4.24357E-18
3121.1  4.33713E-18  4.33713E-18
3125.1  4.44051E-18  4.44051E-18
3129  4.55378E-18  4.55378E-18
3133  4.67704E-18  4.67704E-18
3136.9  4.81040E-18  4.81040E-18
3140.9  4.95399E-18  4.95399E-18
3144.9  5.10793E-18  5.10793E-18
3148.9  5.27234E-18  5.27234E-18
3152.9  5.44731E-18  5.44731E-18
3156.9  5.63293E-18  5.63293E-18
3160.9  5.82925E-18  5.82925E-18
3165  6.03629E-18  6.03629E-18
3169  6.25407E-18  6.25407E-18
3173.1  6.48254E-18  6.48254E-18
3177.1  6.72167E-18  6.72167E-18
3181.2  6.97140E-18  6.97140E-18
3185.3  7.23166E-18  7.23166E-18
3189.4  7.50236E-18  7.50236E-18
3193.5  7.78341E-18  7.78341E-18
