@var:T=Tgas
@var:invT=1d0/Tgas
@var:M=n(idx_M) 
@format:idx,R,R,R,P,P,rate

# SO + SO → SO₂ + S
406,32S32S36S36S,32S36S36S36S,M,36S8,M,4.46d-29
407,32S32S36S36S,33S33S33S33S,M,33S8,M,4.46d-29
408,32S32S36S36S,33S33S33S34S,M,33S8,M,4.46d-29
409,32S32S36S36S,33S33S33S36S,M,36S8,M,4.46d-29
410,32S32S36S36S,33S33S34S34S,M,36S8,M,4.46d-29
411,32S32S36S36S,33S33S34S36S,M,36S8,M,4.46d-29
412,32S32S36S36S,33S33S36S36S,M,36S8,M,4.46d-29
413,32S32S36S36S,33S34S34S34S,M,34S8,M,4.46d-29
414,32S32S36S36S,33S34S34S36S,M,36S8,M,4.46d-29
415,32S32S36S36S,33S34S36S36S,M,36S8,M,4.46d-29
416,32S32S36S36S,33S36S36S36S,M,36S8,M,4.46d-29
417,32S32S36S36S,34S34S34S34S,M,34S8,M,4.46d-29
418,32S32S36S36S,34S34S34S36S,M,36S8,M,4.46d-29
419,32S32S36S36S,34S34S36S36S,M,36S8,M,4.46d-29
420,32S32S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
421,32S32S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
422,32S33S33S33S,32S33S33S33S,M,33S8,M,2.23d-29
423,32S33S33S33S,32S33S33S34S,M,33S8,M,4.46d-29
424,32S33S33S33S,32S33S33S36S,M,33S8,M,4.46d-29
425,32S33S33S33S,32S33S34S34S,M,33S8,M,4.46d-29
426,32S33S33S33S,32S33S34S36S,M,33S8,M,4.46d-29
427,32S33S33S33S,32S33S36S36S,M,33S8,M,4.46d-29
428,32S33S33S33S,32S34S34S34S,M,34S8,M,4.46d-29
429,32S33S33S33S,32S34S34S36S,M,33S8,M,4.46d-29
430,32S33S33S33S,32S34S36S36S,M,33S8,M,4.46d-29
431,32S33S33S33S,32S36S36S36S,M,36S8,M,4.46d-29
432,32S33S33S33S,33S33S33S33S,M,33S8,M,4.46d-29
433,32S33S33S33S,33S33S33S34S,M,33S8,M,4.46d-29
434,32S33S33S33S,33S33S33S36S,M,33S8,M,4.46d-29
435,32S33S33S33S,33S33S34S34S,M,33S8,M,4.46d-29
436,32S33S33S33S,33S33S34S36S,M,33S8,M,4.46d-29
437,32S33S33S33S,33S33S36S36S,M,33S8,M,4.46d-29
438,32S33S33S33S,33S34S34S34S,M,33S8,M,4.46d-29
439,32S33S33S33S,33S34S34S36S,M,33S8,M,4.46d-29
440,32S33S33S33S,33S34S36S36S,M,33S8,M,4.46d-29
441,32S33S33S33S,33S36S36S36S,M,33S8,M,4.46d-29
442,32S33S33S33S,34S34S34S34S,M,34S8,M,4.46d-29
443,32S33S33S33S,34S34S34S36S,M,34S8,M,4.46d-29
444,32S33S33S33S,34S34S36S36S,M,33S8,M,4.46d-29
445,32S33S33S33S,34S36S36S36S,M,36S8,M,4.46d-29
446,32S33S33S33S,36S36S36S36S,M,36S8,M,4.46d-29
447,32S33S33S34S,32S33S33S34S,M,33S8,M,2.23d-29
448,32S33S33S34S,32S33S33S36S,M,33S8,M,4.46d-29
449,32S33S33S34S,32S33S34S34S,M,34S8,M,4.46d-29
450,32S33S33S34S,32S33S34S36S,M,33S8,M,4.46d-29
451,32S33S33S34S,32S33S36S36S,M,33S8,M,4.46d-29
452,32S33S33S34S,32S34S34S34S,M,34S8,M,4.46d-29
453,32S33S33S34S,32S34S34S36S,M,34S8,M,4.46d-29
454,32S33S33S34S,32S34S36S36S,M,36S8,M,4.46d-29
455,32S33S33S34S,32S36S36S36S,M,36S8,M,4.46d-29
456,32S33S33S34S,33S33S33S33S,M,33S8,M,4.46d-29
457,32S33S33S34S,33S33S33S34S,M,33S8,M,4.46d-29
458,32S33S33S34S,33S33S33S36S,M,33S8,M,4.46d-29
459,32S33S33S34S,33S33S34S34S,M,33S8,M,4.46d-29
460,32S33S33S34S,33S33S34S36S,M,33S8,M,4.46d-29
461,32S33S33S34S,33S33S36S36S,M,33S8,M,4.46d-29
462,32S33S33S34S,33S34S34S34S,M,34S8,M,4.46d-29
463,32S33S33S34S,33S34S34S36S,M,34S8,M,4.46d-29
464,32S33S33S34S,33S34S36S36S,M,33S8,M,4.46d-29
465,32S33S33S34S,33S36S36S36S,M,36S8,M,4.46d-29
466,32S33S33S34S,34S34S34S34S,M,34S8,M,4.46d-29
467,32S33S33S34S,34S34S34S36S,M,34S8,M,4.46d-29
468,32S33S33S34S,34S34S36S36S,M,34S8,M,4.46d-29
469,32S33S33S34S,34S36S36S36S,M,36S8,M,4.46d-29
470,32S33S33S34S,36S36S36S36S,M,36S8,M,4.46d-29
471,32S33S33S36S,32S33S33S36S,M,33S8,M,2.23d-29
472,32S33S33S36S,32S33S34S34S,M,33S8,M,4.46d-29
473,32S33S33S36S,32S33S34S36S,M,33S8,M,4.46d-29
474,32S33S33S36S,32S33S36S36S,M,36S8,M,4.46d-29
475,32S33S33S36S,32S34S34S34S,M,34S8,M,4.46d-29
476,32S33S33S36S,32S34S34S36S,M,36S8,M,4.46d-29
477,32S33S33S36S,32S34S36S36S,M,36S8,M,4.46d-29
478,32S33S33S36S,32S36S36S36S,M,36S8,M,4.46d-29
479,32S33S33S36S,33S33S33S33S,M,33S8,M,4.46d-29
480,32S33S33S36S,33S33S33S34S,M,33S8,M,4.46d-29
481,32S33S33S36S,33S33S33S36S,M,33S8,M,4.46d-29
482,32S33S33S36S,33S33S34S34S,M,33S8,M,4.46d-29
483,32S33S33S36S,33S33S34S36S,M,33S8,M,4.46d-29
484,32S33S33S36S,33S33S36S36S,M,33S8,M,4.46d-29
485,32S33S33S36S,33S34S34S34S,M,34S8,M,4.46d-29
486,32S33S33S36S,33S34S34S36S,M,33S8,M,4.46d-29
487,32S33S33S36S,33S34S36S36S,M,36S8,M,4.46d-29
488,32S33S33S36S,33S36S36S36S,M,36S8,M,4.46d-29
489,32S33S33S36S,34S34S34S34S,M,34S8,M,4.46d-29
490,32S33S33S36S,34S34S34S36S,M,34S8,M,4.46d-29
491,32S33S33S36S,34S34S36S36S,M,36S8,M,4.46d-29
492,32S33S33S36S,34S36S36S36S,M,36S8,M,4.46d-29
493,32S33S33S36S,36S36S36S36S,M,36S8,M,4.46d-29
494,32S33S34S34S,32S33S34S34S,M,34S8,M,2.23d-29
495,32S33S34S34S,32S33S34S36S,M,34S8,M,4.46d-29
496,32S33S34S34S,32S33S36S36S,M,36S8,M,4.46d-29
497,32S33S34S34S,32S34S34S34S,M,34S8,M,4.46d-29
498,32S33S34S34S,32S34S34S36S,M,34S8,M,4.46d-29
499,32S33S34S34S,32S34S36S36S,M,34S8,M,4.46d-29
500,32S33S34S34S,32S36S36S36S,M,36S8,M,4.46d-29
501,32S33S34S34S,33S33S33S33S,M,33S8,M,4.46d-29
502,32S33S34S34S,33S33S33S34S,M,33S8,M,4.46d-29
503,32S33S34S34S,33S33S33S36S,M,33S8,M,4.46d-29
504,32S33S34S34S,33S33S34S34S,M,34S8,M,4.46d-29
505,32S33S34S34S,33S33S34S36S,M,34S8,M,4.46d-29
506,32S33S34S34S,33S33S36S36S,M,33S8,M,4.46d-29
507,32S33S34S34S,33S34S34S34S,M,34S8,M,4.46d-29
508,32S33S34S34S,33S34S34S36S,M,34S8,M,4.46d-29
509,32S33S34S34S,33S34S36S36S,M,34S8,M,4.46d-29
510,32S33S34S34S,33S36S36S36S,M,36S8,M,4.46d-29
511,32S33S34S34S,34S34S34S34S,M,34S8,M,4.46d-29
512,32S33S34S34S,34S34S34S36S,M,34S8,M,4.46d-29
513,32S33S34S34S,34S34S36S36S,M,34S8,M,4.46d-29
514,32S33S34S34S,34S36S36S36S,M,36S8,M,4.46d-29
515,32S33S34S34S,36S36S36S36S,M,36S8,M,4.46d-29
516,32S33S34S36S,32S33S34S36S,M,36S8,M,2.23d-29
517,32S33S34S36S,32S33S36S36S,M,36S8,M,4.46d-29
518,32S33S34S36S,32S34S34S34S,M,34S8,M,4.46d-29
519,32S33S34S36S,32S34S34S36S,M,34S8,M,4.46d-29
520,32S33S34S36S,32S34S36S36S,M,36S8,M,4.46d-29
521,32S33S34S36S,32S36S36S36S,M,36S8,M,4.46d-29
522,32S33S34S36S,33S33S33S33S,M,33S8,M,4.46d-29
523,32S33S34S36S,33S33S33S34S,M,33S8,M,4.46d-29
524,32S33S34S36S,33S33S33S36S,M,33S8,M,4.46d-29
525,32S33S34S36S,33S33S34S34S,M,34S8,M,4.46d-29
526,32S33S34S36S,33S33S34S36S,M,33S8,M,4.46d-29
527,32S33S34S36S,33S33S36S36S,M,36S8,M,4.46d-29
528,32S33S34S36S,33S34S34S34S,M,34S8,M,4.46d-29
529,32S33S34S36S,33S34S34S36S,M,34S8,M,4.46d-29
530,32S33S34S36S,33S34S36S36S,M,36S8,M,4.46d-29
531,32S33S34S36S,33S36S36S36S,M,36S8,M,4.46d-29
532,32S33S34S36S,34S34S34S34S,M,34S8,M,4.46d-29
533,32S33S34S36S,34S34S34S36S,M,34S8,M,4.46d-29
534,32S33S34S36S,34S34S36S36S,M,36S8,M,4.46d-29
535,32S33S34S36S,34S36S36S36S,M,36S8,M,4.46d-29
536,32S33S34S36S,36S36S36S36S,M,36S8,M,4.46d-29
537,32S33S36S36S,32S33S36S36S,M,36S8,M,2.23d-29
538,32S33S36S36S,32S34S34S34S,M,34S8,M,4.46d-29
539,32S33S36S36S,32S34S34S36S,M,36S8,M,4.46d-29
540,32S33S36S36S,32S34S36S36S,M,36S8,M,4.46d-29
541,32S33S36S36S,32S36S36S36S,M,36S8,M,4.46d-29
542,32S33S36S36S,33S33S33S33S,M,33S8,M,4.46d-29
543,32S33S36S36S,33S33S33S34S,M,33S8,M,4.46d-29
544,32S33S36S36S,33S33S33S36S,M,33S8,M,4.46d-29
545,32S33S36S36S,33S33S34S34S,M,33S8,M,4.46d-29
546,32S33S36S36S,33S33S34S36S,M,36S8,M,4.46d-29
547,32S33S36S36S,33S33S36S36S,M,36S8,M,4.46d-29
548,32S33S36S36S,33S34S34S34S,M,34S8,M,4.46d-29
549,32S33S36S36S,33S34S34S36S,M,36S8,M,4.46d-29
550,32S33S36S36S,33S34S36S36S,M,36S8,M,4.46d-29
551,32S33S36S36S,33S36S36S36S,M,36S8,M,4.46d-29
552,32S33S36S36S,34S34S34S34S,M,34S8,M,4.46d-29
553,32S33S36S36S,34S34S34S36S,M,36S8,M,4.46d-29
554,32S33S36S36S,34S34S36S36S,M,36S8,M,4.46d-29
555,32S33S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
556,32S33S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
557,32S34S34S34S,32S34S34S34S,M,34S8,M,2.23d-29
558,32S34S34S34S,32S34S34S36S,M,34S8,M,4.46d-29
559,32S34S34S34S,32S34S36S36S,M,34S8,M,4.46d-29
560,32S34S34S34S,32S36S36S36S,M,36S8,M,4.46d-29
561,32S34S34S34S,33S33S33S33S,M,33S8,M,4.46d-29
562,32S34S34S34S,33S33S33S34S,M,34S8,M,4.46d-29
563,32S34S34S34S,33S33S33S36S,M,34S8,M,4.46d-29
564,32S34S34S34S,33S33S34S34S,M,34S8,M,4.46d-29
565,32S34S34S34S,33S33S34S36S,M,34S8,M,4.46d-29
566,32S34S34S34S,33S33S36S36S,M,34S8,M,4.46d-29
567,32S34S34S34S,33S34S34S34S,M,34S8,M,4.46d-29
568,32S34S34S34S,33S34S34S36S,M,34S8,M,4.46d-29
569,32S34S34S34S,33S34S36S36S,M,34S8,M,4.46d-29
570,32S34S34S34S,33S36S36S36S,M,36S8,M,4.46d-29
571,32S34S34S34S,34S34S34S34S,M,34S8,M,4.46d-29
572,32S34S34S34S,34S34S34S36S,M,34S8,M,4.46d-29
573,32S34S34S34S,34S34S36S36S,M,34S8,M,4.46d-29
574,32S34S34S34S,34S36S36S36S,M,34S8,M,4.46d-29
575,32S34S34S34S,36S36S36S36S,M,36S8,M,4.46d-29
576,32S34S34S36S,32S34S34S36S,M,34S8,M,2.23d-29
577,32S34S34S36S,32S34S36S36S,M,36S8,M,4.46d-29
578,32S34S34S36S,32S36S36S36S,M,36S8,M,4.46d-29
579,32S34S34S36S,33S33S33S33S,M,33S8,M,4.46d-29
580,32S34S34S36S,33S33S33S34S,M,34S8,M,4.46d-29
581,32S34S34S36S,33S33S33S36S,M,33S8,M,4.46d-29
582,32S34S34S36S,33S33S34S34S,M,34S8,M,4.46d-29
583,32S34S34S36S,33S33S34S36S,M,34S8,M,4.46d-29
584,32S34S34S36S,33S33S36S36S,M,36S8,M,4.46d-29
585,32S34S34S36S,33S34S34S34S,M,34S8,M,4.46d-29
586,32S34S34S36S,33S34S34S36S,M,34S8,M,4.46d-29
587,32S34S34S36S,33S34S36S36S,M,36S8,M,4.46d-29
588,32S34S34S36S,33S36S36S36S,M,36S8,M,4.46d-29
589,32S34S34S36S,34S34S34S34S,M,34S8,M,4.46d-29
590,32S34S34S36S,34S34S34S36S,M,34S8,M,4.46d-29
591,32S34S34S36S,34S34S36S36S,M,34S8,M,4.46d-29
592,32S34S34S36S,34S36S36S36S,M,36S8,M,4.46d-29
593,32S34S34S36S,36S36S36S36S,M,36S8,M,4.46d-29
594,32S34S36S36S,32S34S36S36S,M,36S8,M,2.23d-29
595,32S34S36S36S,32S36S36S36S,M,36S8,M,4.46d-29
596,32S34S36S36S,33S33S33S33S,M,33S8,M,4.46d-29
597,32S34S36S36S,33S33S33S34S,M,33S8,M,4.46d-29
598,32S34S36S36S,33S33S33S36S,M,36S8,M,4.46d-29
599,32S34S36S36S,33S33S34S34S,M,34S8,M,4.46d-29
600,32S34S36S36S,33S33S34S36S,M,36S8,M,4.46d-29
601,32S34S36S36S,33S33S36S36S,M,36S8,M,4.46d-29
602,32S34S36S36S,33S34S34S34S,M,34S8,M,4.46d-29
603,32S34S36S36S,33S34S34S36S,M,36S8,M,4.46d-29
604,32S34S36S36S,33S34S36S36S,M,36S8,M,4.46d-29
605,32S34S36S36S,33S36S36S36S,M,36S8,M,4.46d-29
606,32S34S36S36S,34S34S34S34S,M,34S8,M,4.46d-29
607,32S34S36S36S,34S34S34S36S,M,34S8,M,4.46d-29
608,32S34S36S36S,34S34S36S36S,M,36S8,M,4.46d-29
609,32S34S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
610,32S34S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
611,32S36S36S36S,32S36S36S36S,M,36S8,M,2.23d-29
612,32S36S36S36S,33S33S33S33S,M,33S8,M,4.46d-29
613,32S36S36S36S,33S33S33S34S,M,36S8,M,4.46d-29
614,32S36S36S36S,33S33S33S36S,M,36S8,M,4.46d-29
615,32S36S36S36S,33S33S34S34S,M,36S8,M,4.46d-29
616,32S36S36S36S,33S33S34S36S,M,36S8,M,4.46d-29
617,32S36S36S36S,33S33S36S36S,M,36S8,M,4.46d-29
618,32S36S36S36S,33S34S34S34S,M,36S8,M,4.46d-29
619,32S36S36S36S,33S34S34S36S,M,36S8,M,4.46d-29
620,32S36S36S36S,33S34S36S36S,M,36S8,M,4.46d-29
621,32S36S36S36S,33S36S36S36S,M,36S8,M,4.46d-29
622,32S36S36S36S,34S34S34S34S,M,34S8,M,4.46d-29
623,32S36S36S36S,34S34S34S36S,M,36S8,M,4.46d-29
624,32S36S36S36S,34S34S36S36S,M,36S8,M,4.46d-29
625,32S36S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
626,32S36S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
627,33S33S33S33S,33S33S33S33S,M,33S8,M,2.23d-29
628,33S33S33S33S,33S33S33S34S,M,33S8,M,4.46d-29
629,33S33S33S33S,33S33S33S36S,M,33S8,M,4.46d-29
630,33S33S33S33S,33S33S34S34S,M,33S8,M,4.46d-29
631,33S33S33S33S,33S33S34S36S,M,33S8,M,4.46d-29
632,33S33S33S33S,33S33S36S36S,M,33S8,M,4.46d-29
633,33S33S33S33S,33S34S34S34S,M,33S8,M,4.46d-29
634,33S33S33S33S,33S34S34S36S,M,33S8,M,4.46d-29
635,33S33S33S33S,33S34S36S36S,M,33S8,M,4.46d-29
636,33S33S33S33S,33S36S36S36S,M,33S8,M,4.46d-29
637,33S33S33S33S,34S34S34S34S,M,34S8,M,4.46d-29
638,33S33S33S33S,34S34S34S36S,M,33S8,M,4.46d-29
639,33S33S33S33S,34S34S36S36S,M,33S8,M,4.46d-29
640,33S33S33S33S,34S36S36S36S,M,33S8,M,4.46d-29
641,33S33S33S33S,36S36S36S36S,M,36S8,M,4.46d-29
642,33S33S33S34S,33S33S33S34S,M,33S8,M,2.23d-29
643,33S33S33S34S,33S33S33S36S,M,33S8,M,4.46d-29
644,33S33S33S34S,33S33S34S34S,M,33S8,M,4.46d-29
645,33S33S33S34S,33S33S34S36S,M,33S8,M,4.46d-29
646,33S33S33S34S,33S33S36S36S,M,33S8,M,4.46d-29
647,33S33S33S34S,33S34S34S34S,M,34S8,M,4.46d-29
648,33S33S33S34S,33S34S34S36S,M,33S8,M,4.46d-29
649,33S33S33S34S,33S34S36S36S,M,33S8,M,4.46d-29
650,33S33S33S34S,33S36S36S36S,M,33S8,M,4.46d-29
651,33S33S33S34S,34S34S34S34S,M,34S8,M,4.46d-29
652,33S33S33S34S,34S34S34S36S,M,34S8,M,4.46d-29
653,33S33S33S34S,34S34S36S36S,M,34S8,M,4.46d-29
654,33S33S33S34S,34S36S36S36S,M,36S8,M,4.46d-29
655,33S33S33S34S,36S36S36S36S,M,36S8,M,4.46d-29
656,33S33S33S36S,33S33S33S36S,M,33S8,M,2.23d-29
657,33S33S33S36S,33S33S34S34S,M,33S8,M,4.46d-29
658,33S33S33S36S,33S33S34S36S,M,33S8,M,4.46d-29
659,33S33S33S36S,33S33S36S36S,M,33S8,M,4.46d-29
660,33S33S33S36S,33S34S34S34S,M,33S8,M,4.46d-29
661,33S33S33S36S,33S34S34S36S,M,33S8,M,4.46d-29
662,33S33S33S36S,33S34S36S36S,M,33S8,M,4.46d-29
663,33S33S33S36S,33S36S36S36S,M,36S8,M,4.46d-29
664,33S33S33S36S,34S34S34S34S,M,34S8,M,4.46d-29
665,33S33S33S36S,34S34S34S36S,M,34S8,M,4.46d-29
666,33S33S33S36S,34S34S36S36S,M,36S8,M,4.46d-29
667,33S33S33S36S,34S36S36S36S,M,36S8,M,4.46d-29
668,33S33S33S36S,36S36S36S36S,M,36S8,M,4.46d-29
669,33S33S34S34S,33S33S34S34S,M,34S8,M,2.23d-29
670,33S33S34S34S,33S33S34S36S,M,33S8,M,4.46d-29
671,33S33S34S34S,33S33S36S36S,M,33S8,M,4.46d-29
672,33S33S34S34S,33S34S34S34S,M,34S8,M,4.46d-29
673,33S33S34S34S,33S34S34S36S,M,34S8,M,4.46d-29
674,33S33S34S34S,33S34S36S36S,M,34S8,M,4.46d-29
675,33S33S34S34S,33S36S36S36S,M,36S8,M,4.46d-29
676,33S33S34S34S,34S34S34S34S,M,34S8,M,4.46d-29
677,33S33S34S34S,34S34S34S36S,M,34S8,M,4.46d-29
678,33S33S34S34S,34S34S36S36S,M,34S8,M,4.46d-29
679,33S33S34S34S,34S36S36S36S,M,36S8,M,4.46d-29
680,33S33S34S34S,36S36S36S36S,M,36S8,M,4.46d-29
681,33S33S34S36S,33S33S34S36S,M,33S8,M,2.23d-29
682,33S33S34S36S,33S33S36S36S,M,33S8,M,4.46d-29
683,33S33S34S36S,33S34S34S34S,M,34S8,M,4.46d-29
684,33S33S34S36S,33S34S34S36S,M,34S8,M,4.46d-29
685,33S33S34S36S,33S34S36S36S,M,36S8,M,4.46d-29
686,33S33S34S36S,33S36S36S36S,M,36S8,M,4.46d-29
687,33S33S34S36S,34S34S34S34S,M,34S8,M,4.46d-29
688,33S33S34S36S,34S34S34S36S,M,34S8,M,4.46d-29
689,33S33S34S36S,34S34S36S36S,M,36S8,M,4.46d-29
690,33S33S34S36S,34S36S36S36S,M,36S8,M,4.46d-29
691,33S33S34S36S,36S36S36S36S,M,36S8,M,4.46d-29
692,33S33S36S36S,33S33S36S36S,M,36S8,M,2.23d-29
693,33S33S36S36S,33S34S34S34S,M,34S8,M,4.46d-29
694,33S33S36S36S,33S34S34S36S,M,36S8,M,4.46d-29
695,33S33S36S36S,33S34S36S36S,M,36S8,M,4.46d-29
696,33S33S36S36S,33S36S36S36S,M,36S8,M,4.46d-29
697,33S33S36S36S,34S34S34S34S,M,34S8,M,4.46d-29
698,33S33S36S36S,34S34S34S36S,M,36S8,M,4.46d-29
699,33S33S36S36S,34S34S36S36S,M,36S8,M,4.46d-29
700,33S33S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
701,33S33S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
702,33S34S34S34S,33S34S34S34S,M,34S8,M,2.23d-29
703,33S34S34S34S,33S34S34S36S,M,34S8,M,4.46d-29
704,33S34S34S34S,33S34S36S36S,M,34S8,M,4.46d-29
705,33S34S34S34S,33S36S36S36S,M,36S8,M,4.46d-29
706,33S34S34S34S,34S34S34S34S,M,34S8,M,4.46d-29
707,33S34S34S34S,34S34S34S36S,M,34S8,M,4.46d-29
708,33S34S34S34S,34S34S36S36S,M,34S8,M,4.46d-29
709,33S34S34S34S,34S36S36S36S,M,34S8,M,4.46d-29
710,33S34S34S34S,36S36S36S36S,M,36S8,M,4.46d-29
711,33S34S34S36S,33S34S34S36S,M,34S8,M,2.23d-29
712,33S34S34S36S,33S34S36S36S,M,36S8,M,4.46d-29
713,33S34S34S36S,33S36S36S36S,M,36S8,M,4.46d-29
714,33S34S34S36S,34S34S34S34S,M,34S8,M,4.46d-29
715,33S34S34S36S,34S34S34S36S,M,34S8,M,4.46d-29
716,33S34S34S36S,34S34S36S36S,M,34S8,M,4.46d-29
717,33S34S34S36S,34S36S36S36S,M,36S8,M,4.46d-29
718,33S34S34S36S,36S36S36S36S,M,36S8,M,4.46d-29
719,33S34S36S36S,33S34S36S36S,M,36S8,M,2.23d-29
720,33S34S36S36S,33S36S36S36S,M,36S8,M,4.46d-29
721,33S34S36S36S,34S34S34S34S,M,34S8,M,4.46d-29
722,33S34S36S36S,34S34S34S36S,M,34S8,M,4.46d-29
723,33S34S36S36S,34S34S36S36S,M,36S8,M,4.46d-29
724,33S34S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
725,33S34S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
726,33S36S36S36S,33S36S36S36S,M,36S8,M,2.23d-29
727,33S36S36S36S,34S34S34S34S,M,34S8,M,4.46d-29
728,33S36S36S36S,34S34S34S36S,M,36S8,M,4.46d-29
729,33S36S36S36S,34S34S36S36S,M,36S8,M,4.46d-29
730,33S36S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
731,33S36S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
732,34S34S34S34S,34S34S34S34S,M,34S8,M,2.23d-29
733,34S34S34S34S,34S34S34S36S,M,34S8,M,4.46d-29
734,34S34S34S34S,34S34S36S36S,M,34S8,M,4.46d-29
735,34S34S34S34S,34S36S36S36S,M,34S8,M,4.46d-29
736,34S34S34S34S,36S36S36S36S,M,36S8,M,4.46d-29
737,34S34S34S36S,34S34S34S36S,M,34S8,M,2.23d-29
738,34S34S34S36S,34S34S36S36S,M,34S8,M,4.46d-29
739,34S34S34S36S,34S36S36S36S,M,36S8,M,4.46d-29
740,34S34S34S36S,36S36S36S36S,M,36S8,M,4.46d-29
741,34S34S36S36S,34S34S36S36S,M,36S8,M,2.23d-29
742,34S34S36S36S,34S36S36S36S,M,36S8,M,4.46d-29
743,34S34S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
744,34S36S36S36S,34S36S36S36S,M,36S8,M,2.23d-29
745,34S36S36S36S,36S36S36S36S,M,36S8,M,4.46d-29
746,36S36S36S36S,36S36S36S36S,M,36S8,M,2.23d-29

# SO + O + M → SO₂ + M
747,32SO,O,M,32SO2,M,5.10d-31
748,33SO,O,M,33SO2,M,5.10d-31
749,34SO,O,M,34SO2,M,5.10d-31
750,36SO,O,M,36SO2,M,5.10d-31

751,O,O,M,O2,M,1.0d-32

# S + O₂ → SO + O
752,32S,O2,,32SO,O,2.25d-12
753,33S,O2,,33SO,O,2.25d-12
754,34S,O2,,34SO,O,2.25d-12
755,36S,O2,,36SO,O,2.25d-12

# SO + O₂ → SO₂ + O
756,32SO,O2,,32SO2,O,7.04d-17
757,33SO,O2,,33SO2,O,7.04d-17
758,34SO,O2,,34SO2,O,7.04d-17
759,36SO,O2,,36SO2,O,7.04d-17

# SO + SO₃ → SO₂ + SO₂
760,32SO,32SO3,,32SO2,32SO2,1.99d-15
761,33SO,33SO3,,33SO2,33SO2,1.99d-15
762,34SO,34SO3,,34SO2,34SO2,1.99d-15
763,36SO,36SO3,,36SO2,36SO2,1.99d-15
764,32SO,33SO3,,32SO2,33SO2,1.99d-15
765,32SO,34SO3,,32SO2,34SO2,1.99d-15
766,32SO,36SO3,,32SO2,36SO2,1.99d-15
767,33SO,32SO3,,32SO2,33SO2,1.99d-15
768,33SO,34SO3,,33SO2,34SO2,1.99d-15
769,33SO,36SO3,,33SO2,36SO2,1.99d-15
770,34SO,32SO3,,32SO2,34SO2,1.99d-15
771,34SO,33SO3,,33SO2,34SO2,1.99d-15
772,34SO,36SO3,,34SO2,36SO2,1.99d-15
773,36SO,32SO3,,32SO2,36SO2,1.99d-15
774,36SO,33SO3,,33SO2,36SO2,1.99d-15
775,36SO,34SO3,,34SO2,36SO2,1.99d-15

# SO₂ + O → SO₃ 
776,32SO2,O,,32SO3,,1.3d-14
777,33SO2,O,,33SO3,,1.3d-14
778,34SO2,O,,34SO3,,1.3d-14
779,36SO2,O,,36SO3,,1.3d-14

# SO₃ + CO → SO₂ + CO₂
780,32SO3,CO,,32SO2,CO2,7.27d-31
781,33SO3,CO,,33SO2,CO2,7.27d-31
782,34SO3,CO,,34SO2,CO2,7.27d-31
783,36SO3,CO,,36SO2,CO2,7.27d-31

# ¹SO₂ → ³SO₂
784,32SO2_1A2,,,32SO2_3B1,,1.50d03
785,33SO2_1A2,,,33SO2_3B1,,1.68d03
786,34SO2_1A2,,,34SO2_3B1,,1.496d03
787,36SO2_1A2,,,36SO2_3B1,,1.71d03

# ¹SO₂(a) → SO₂
788,32SO2_1A2,,,32SO2,,2.20d04
789,33SO2_1A2,,,33SO2,,2.20d04
790,34SO2_1A2,,,34SO2,,2.20d04
791,36SO2_1A2,,,36SO2,,2.20d04

# ¹SO₂(b) → SO₂
792,32SO2_1B1,,,32SO2,,2.20d04
793,33SO2_1B1,,,33SO2,,2.20d04
794,34SO2_1B1,,,34SO2,,2.20d04
795,36SO2_1B1,,,36SO2,,2.20d04

# ¹SO₂(a) + SO₂ → SO + SO₃
796,32SO2_1A2,32SO2,,32SO,32SO3,4.00d-12
797,33SO2_1A2,33SO2,,33SO,33SO3,4.00d-12
798,34SO2_1A2,34SO2,,34SO,34SO3,4.00d-12
799,36SO2_1A2,36SO2,,36SO,36SO3,4.00d-12
800,32SO2_1A2,33SO2,,32SO,33SO3,4.00d-12
801,32SO2_1A2,34SO2,,32SO,34SO3,4.00d-12
802,32SO2_1A2,36SO2,,32SO,36SO3,4.00d-12
803,33SO2_1A2,32SO2,,33SO,32SO3,4.00d-12
804,33SO2_1A2,34SO2,,33SO,34SO3,4.00d-12
805,33SO2_1A2,36SO2,,33SO,36SO3,4.00d-12
806,34SO2_1A2,32SO2,,34SO,32SO3,4.00d-12
807,34SO2_1A2,33SO2,,34SO,33SO3,4.00d-12
808,34SO2_1A2,36SO2,,34SO,36SO3,4.00d-12
809,36SO2_1A2,32SO2,,36SO,32SO3,4.00d-12
810,36SO2_1A2,33SO2,,36SO,33SO3,4.00d-12
