@var:T=Tgas
@var:invT=1d0/Tgas
@var:M=n(idx_M) 
@format:idx,R,R,R,P,P,rate

# SO + SO → SO₂ + S
103,33S34S,33S36S,M,33S33S34S36S,M,4.46d-29
104,33S34S,34S34S,M,33S34S34S34S,M,4.46d-29
105,33S34S,34S36S,M,33S34S34S36S,M,4.46d-29
106,33S34S,36S36S,M,33S34S36S36S,M,4.46d-29
107,33S36S,33S36S,M,33S33S36S36S,M,2.23d-29
108,33S36S,34S34S,M,33S34S34S36S,M,4.46d-29
109,33S36S,34S36S,M,33S34S36S36S,M,4.46d-29
110,33S36S,36S36S,M,33S36S36S36S,M,4.46d-29
111,34S34S,34S34S,M,34S34S34S34S,M,2.23d-29
112,34S34S,34S36S,M,34S34S34S36S,M,4.46d-29
113,34S34S,36S36S,M,34S34S36S36S,M,4.46d-29
114,34S36S,34S36S,M,34S34S36S36S,M,2.23d-29
115,34S36S,36S36S,M,34S36S36S36S,M,4.46d-29
116,36S36S,36S36S,M,36S36S36S36S,M,2.23d-29

# S₄ + S₄ + M → S₈ + M
117,32S32S32S32S,32S32S32S32S,M,32S8,M,2.23d-29
118,32S32S32S32S,32S32S32S33S,M,32S8,M,4.46d-29
119,32S32S32S32S,32S32S32S34S,M,32S8,M,4.46d-29
120,32S32S32S32S,32S32S32S36S,M,32S8,M,4.46d-29
121,32S32S32S32S,32S32S33S33S,M,32S8,M,4.46d-29
122,32S32S32S32S,32S32S33S34S,M,32S8,M,4.46d-29
123,32S32S32S32S,32S32S33S36S,M,32S8,M,4.46d-29
124,32S32S32S32S,32S32S34S34S,M,32S8,M,4.46d-29
125,32S32S32S32S,32S32S34S36S,M,32S8,M,4.46d-29
126,32S32S32S32S,32S32S36S36S,M,32S8,M,4.46d-29
127,32S32S32S32S,32S33S33S33S,M,32S8,M,4.46d-29
128,32S32S32S32S,32S33S33S34S,M,32S8,M,4.46d-29
129,32S32S32S32S,32S33S33S36S,M,32S8,M,4.46d-29
130,32S32S32S32S,32S33S34S34S,M,32S8,M,4.46d-29
131,32S32S32S32S,32S33S34S36S,M,32S8,M,4.46d-29
132,32S32S32S32S,32S33S36S36S,M,32S8,M,4.46d-29
133,32S32S32S32S,32S34S34S34S,M,32S8,M,4.46d-29
134,32S32S32S32S,32S34S34S36S,M,32S8,M,4.46d-29
135,32S32S32S32S,32S34S36S36S,M,32S8,M,4.46d-29
136,32S32S32S32S,32S36S36S36S,M,32S8,M,4.46d-29
137,32S32S32S32S,33S33S33S33S,M,33S8,M,4.46d-29
138,32S32S32S32S,33S33S33S34S,M,32S8,M,4.46d-29
139,32S32S32S32S,33S33S33S36S,M,32S8,M,4.46d-29
140,32S32S32S32S,33S33S34S34S,M,32S8,M,4.46d-29
141,32S32S32S32S,33S33S34S36S,M,32S8,M,4.46d-29
142,32S32S32S32S,33S33S36S36S,M,32S8,M,4.46d-29
143,32S32S32S32S,33S34S34S34S,M,32S8,M,4.46d-29
144,32S32S32S32S,33S34S34S36S,M,32S8,M,4.46d-29
145,32S32S32S32S,33S34S36S36S,M,32S8,M,4.46d-29
146,32S32S32S32S,33S36S36S36S,M,32S8,M,4.46d-29
147,32S32S32S32S,34S34S34S34S,M,34S8,M,4.46d-29
148,32S32S32S32S,34S34S34S36S,M,32S8,M,4.46d-29
149,32S32S32S32S,34S34S36S36S,M,32S8,M,4.46d-29
150,32S32S32S32S,34S36S36S36S,M,32S8,M,4.46d-29
151,32S32S32S32S,36S36S36S36S,M,36S8,M,4.46d-29
152,32S32S32S33S,32S32S32S33S,M,32S8,M,2.23d-29
153,32S32S32S33S,32S32S32S34S,M,32S8,M,4.46d-29
154,32S32S32S33S,32S32S32S36S,M,32S8,M,4.46d-29
155,32S32S32S33S,32S32S33S33S,M,32S8,M,4.46d-29
156,32S32S32S33S,32S32S33S34S,M,32S8,M,4.46d-29
157,32S32S32S33S,32S32S33S36S,M,32S8,M,4.46d-29
158,32S32S32S33S,32S32S34S34S,M,32S8,M,4.46d-29
159,32S32S32S33S,32S32S34S36S,M,32S8,M,4.46d-29
160,32S32S32S33S,32S32S36S36S,M,32S8,M,4.46d-29
161,32S32S32S33S,32S33S33S33S,M,33S8,M,4.46d-29
162,32S32S32S33S,32S33S33S34S,M,32S8,M,4.46d-29
163,32S32S32S33S,32S33S33S36S,M,32S8,M,4.46d-29
164,32S32S32S33S,32S33S34S34S,M,32S8,M,4.46d-29
165,32S32S32S33S,32S33S34S36S,M,32S8,M,4.46d-29
166,32S32S32S33S,32S33S36S36S,M,32S8,M,4.46d-29
167,32S32S32S33S,32S34S34S34S,M,32S8,M,4.46d-29
168,32S32S32S33S,32S34S34S36S,M,32S8,M,4.46d-29
169,32S32S32S33S,32S34S36S36S,M,32S8,M,4.46d-29
170,32S32S32S33S,32S36S36S36S,M,32S8,M,4.46d-29
171,32S32S32S33S,33S33S33S33S,M,33S8,M,4.46d-29
172,32S32S32S33S,33S33S33S34S,M,33S8,M,4.46d-29
173,32S32S32S33S,33S33S33S36S,M,33S8,M,4.46d-29
174,32S32S32S33S,33S33S34S34S,M,33S8,M,4.46d-29
175,32S32S32S33S,33S33S34S36S,M,33S8,M,4.46d-29
176,32S32S32S33S,33S33S36S36S,M,33S8,M,4.46d-29
177,32S32S32S33S,33S34S34S34S,M,34S8,M,4.46d-29
178,32S32S32S33S,33S34S34S36S,M,32S8,M,4.46d-29
179,32S32S32S33S,33S34S36S36S,M,32S8,M,4.46d-29
180,32S32S32S33S,33S36S36S36S,M,36S8,M,4.46d-29
181,32S32S32S33S,34S34S34S34S,M,34S8,M,4.46d-29
182,32S32S32S33S,34S34S34S36S,M,34S8,M,4.46d-29
183,32S32S32S33S,34S34S36S36S,M,32S8,M,4.46d-29
184,32S32S32S33S,34S36S36S36S,M,36S8,M,4.46d-29
185,32S32S32S33S,36S36S36S36S,M,36S8,M,4.46d-29
186,32S32S32S34S,32S32S32S34S,M,32S8,M,2.23d-29
187,32S32S32S34S,32S32S32S36S,M,32S8,M,4.46d-29
188,32S32S32S34S,32S32S33S33S,M,32S8,M,4.46d-29
189,32S32S32S34S,32S32S33S34S,M,32S8,M,4.46d-29
190,32S32S32S34S,32S32S33S36S,M,32S8,M,4.46d-29
191,32S32S32S34S,32S32S34S34S,M,32S8,M,4.46d-29
192,32S32S32S34S,32S32S34S36S,M,32S8,M,4.46d-29
193,32S32S32S34S,32S32S36S36S,M,32S8,M,4.46d-29
194,32S32S32S34S,32S33S33S33S,M,32S8,M,4.46d-29
195,32S32S32S34S,32S33S33S34S,M,32S8,M,4.46d-29
196,32S32S32S34S,32S33S33S36S,M,32S8,M,4.46d-29
197,32S32S32S34S,32S33S34S34S,M,32S8,M,4.46d-29
198,32S32S32S34S,32S33S34S36S,M,32S8,M,4.46d-29
199,32S32S32S34S,32S33S36S36S,M,32S8,M,4.46d-29
200,32S32S32S34S,32S34S34S34S,M,34S8,M,4.46d-29
201,32S32S32S34S,32S34S34S36S,M,32S8,M,4.46d-29
202,32S32S32S34S,32S34S36S36S,M,32S8,M,4.46d-29
203,32S32S32S34S,32S36S36S36S,M,32S8,M,4.46d-29
204,32S32S32S34S,33S33S33S33S,M,33S8,M,4.46d-29
205,32S32S32S34S,33S33S33S34S,M,33S8,M,4.46d-29
206,32S32S32S34S,33S33S33S36S,M,33S8,M,4.46d-29
207,32S32S32S34S,33S33S34S34S,M,34S8,M,4.46d-29
208,32S32S32S34S,33S33S34S36S,M,32S8,M,4.46d-29
209,32S32S32S34S,33S33S36S36S,M,32S8,M,4.46d-29
210,32S32S32S34S,33S34S34S34S,M,34S8,M,4.46d-29
211,32S32S32S34S,33S34S34S36S,M,34S8,M,4.46d-29
212,32S32S32S34S,33S34S36S36S,M,32S8,M,4.46d-29
213,32S32S32S34S,33S36S36S36S,M,36S8,M,4.46d-29
214,32S32S32S34S,34S34S34S34S,M,34S8,M,4.46d-29
215,32S32S32S34S,34S34S34S36S,M,34S8,M,4.46d-29
216,32S32S32S34S,34S34S36S36S,M,34S8,M,4.46d-29
217,32S32S32S34S,34S36S36S36S,M,36S8,M,4.46d-29
218,32S32S32S34S,36S36S36S36S,M,36S8,M,4.46d-29
219,32S32S32S36S,32S32S32S36S,M,32S8,M,2.23d-29
220,32S32S32S36S,32S32S33S33S,M,32S8,M,4.46d-29
221,32S32S32S36S,32S32S33S34S,M,32S8,M,4.46d-29
222,32S32S32S36S,32S32S33S36S,M,32S8,M,4.46d-29
223,32S32S32S36S,32S32S34S34S,M,32S8,M,4.46d-29
224,32S32S32S36S,32S32S34S36S,M,32S8,M,4.46d-29
225,32S32S32S36S,32S32S36S36S,M,32S8,M,4.46d-29
226,32S32S32S36S,32S33S33S33S,M,32S8,M,4.46d-29
227,32S32S32S36S,32S33S33S34S,M,32S8,M,4.46d-29
228,32S32S32S36S,32S33S33S36S,M,32S8,M,4.46d-29
229,32S32S32S36S,32S33S34S34S,M,32S8,M,4.46d-29
230,32S32S32S36S,32S33S34S36S,M,32S8,M,4.46d-29
231,32S32S32S36S,32S33S36S36S,M,32S8,M,4.46d-29
232,32S32S32S36S,32S34S34S34S,M,32S8,M,4.46d-29
233,32S32S32S36S,32S34S34S36S,M,32S8,M,4.46d-29
234,32S32S32S36S,32S34S36S36S,M,32S8,M,4.46d-29
235,32S32S32S36S,32S36S36S36S,M,36S8,M,4.46d-29
236,32S32S32S36S,33S33S33S33S,M,33S8,M,4.46d-29
237,32S32S32S36S,33S33S33S34S,M,33S8,M,4.46d-29
238,32S32S32S36S,33S33S33S36S,M,33S8,M,4.46d-29
239,32S32S32S36S,33S33S34S34S,M,32S8,M,4.46d-29
240,32S32S32S36S,33S33S34S36S,M,32S8,M,4.46d-29
241,32S32S32S36S,33S33S36S36S,M,36S8,M,4.46d-29
242,32S32S32S36S,33S34S34S34S,M,34S8,M,4.46d-29
243,32S32S32S36S,33S34S34S36S,M,32S8,M,4.46d-29
244,32S32S32S36S,33S34S36S36S,M,36S8,M,4.46d-29
245,32S32S32S36S,33S36S36S36S,M,36S8,M,4.46d-29
246,32S32S32S36S,34S34S34S34S,M,34S8,M,4.46d-29
247,32S32S32S36S,34S34S34S36S,M,34S8,M,4.46d-29
248,32S32S32S36S,34S34S36S36S,M,36S8,M,4.46d-29
249,32S32S32S36S,34S36S36S36S,M,36S8,M,4.46d-29
250,32S32S32S36S,36S36S36S36S,M,36S8,M,4.46d-29
251,32S32S33S33S,32S32S33S33S,M,33S8,M,2.23d-29
252,32S32S33S33S,32S32S33S34S,M,32S8,M,4.46d-29
253,32S32S33S33S,32S32S33S36S,M,32S8,M,4.46d-29
254,32S32S33S33S,32S32S34S34S,M,32S8,M,4.46d-29
255,32S32S33S33S,32S32S34S36S,M,32S8,M,4.46d-29
256,32S32S33S33S,32S32S36S36S,M,32S8,M,4.46d-29
257,32S32S33S33S,32S33S33S33S,M,33S8,M,4.46d-29
258,32S32S33S33S,32S33S33S34S,M,33S8,M,4.46d-29
259,32S32S33S33S,32S33S33S36S,M,33S8,M,4.46d-29
260,32S32S33S33S,32S33S34S34S,M,33S8,M,4.46d-29
261,32S32S33S33S,32S33S34S36S,M,33S8,M,4.46d-29
262,32S32S33S33S,32S33S36S36S,M,33S8,M,4.46d-29
263,32S32S33S33S,32S34S34S34S,M,34S8,M,4.46d-29
264,32S32S33S33S,32S34S34S36S,M,32S8,M,4.46d-29
265,32S32S33S33S,32S34S36S36S,M,32S8,M,4.46d-29
266,32S32S33S33S,32S36S36S36S,M,36S8,M,4.46d-29
267,32S32S33S33S,33S33S33S33S,M,33S8,M,4.46d-29
268,32S32S33S33S,33S33S33S34S,M,33S8,M,4.46d-29
269,32S32S33S33S,33S33S33S36S,M,33S8,M,4.46d-29
270,32S32S33S33S,33S33S34S34S,M,33S8,M,4.46d-29
271,32S32S33S33S,33S33S34S36S,M,33S8,M,4.46d-29
272,32S32S33S33S,33S33S36S36S,M,33S8,M,4.46d-29
273,32S32S33S33S,33S34S34S34S,M,34S8,M,4.46d-29
274,32S32S33S33S,33S34S34S36S,M,33S8,M,4.46d-29
275,32S32S33S33S,33S34S36S36S,M,33S8,M,4.46d-29
276,32S32S33S33S,33S36S36S36S,M,36S8,M,4.46d-29
277,32S32S33S33S,34S34S34S34S,M,34S8,M,4.46d-29
278,32S32S33S33S,34S34S34S36S,M,34S8,M,4.46d-29
279,32S32S33S33S,34S34S36S36S,M,36S8,M,4.46d-29
280,32S32S33S33S,34S36S36S36S,M,36S8,M,4.46d-29
281,32S32S33S33S,36S36S36S36S,M,36S8,M,4.46d-29
282,32S32S33S34S,32S32S33S34S,M,32S8,M,2.23d-29
283,32S32S33S34S,32S32S33S36S,M,32S8,M,4.46d-29
284,32S32S33S34S,32S32S34S34S,M,32S8,M,4.46d-29
285,32S32S33S34S,32S32S34S36S,M,32S8,M,4.46d-29
286,32S32S33S34S,32S32S36S36S,M,32S8,M,4.46d-29
287,32S32S33S34S,32S33S33S33S,M,33S8,M,4.46d-29
288,32S32S33S34S,32S33S33S34S,M,33S8,M,4.46d-29
289,32S32S33S34S,32S33S33S36S,M,33S8,M,4.46d-29
290,32S32S33S34S,32S33S34S34S,M,34S8,M,4.46d-29
291,32S32S33S34S,32S33S34S36S,M,32S8,M,4.46d-29
292,32S32S33S34S,32S33S36S36S,M,32S8,M,4.46d-29
293,32S32S33S34S,32S34S34S34S,M,34S8,M,4.46d-29
294,32S32S33S34S,32S34S34S36S,M,34S8,M,4.46d-29
295,32S32S33S34S,32S34S36S36S,M,32S8,M,4.46d-29
296,32S32S33S34S,32S36S36S36S,M,36S8,M,4.46d-29
