0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
4.64E+14	3.66E+12	2.06E+13	9.76E+10	2.31E+18	2.31E+18
