0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
4.71E+14	3.72E+12	2.09E+13	9.92E+10	2.29E+18	2.29E+18
