0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
1.11E+15	8.79E+12	4.94E+13	2.35E+11	2.28E+18	2.28E+18
