0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
4.54E+14	3.58E+12	2.01E+13	9.56E+10	2.28E+18	2.28E+18
