0          References for Cross Section of 33S33S33S        
           Frandsen., 2020 (No isotope)   
0 Branching ratio for 33S33S33S       Total        1 branch
Lambda  Total   33S/33S33S
2926.8  1.00E-23  1.00E-23
2930.3  8.00E-24  8.00E-24
2933.8  5.00E-24  5.00E-24
2937.2  4.00E-24  4.00E-24
2940.7  3.00E-24  3.00E-24
2944.2  2.00E-24  2.00E-24
2947.7  1.00E-24  1.00E-24
2951.2  1.00E-24  1.00E-24
2954.7  1.00E-24  1.00E-24
3102.6  0.00E+00  0.00E+00
3106.5  1.00E-24  1.00E-24
3110.4  1.00E-24  1.00E-24
3114.3  2.00E-24  2.00E-24
3118.2  3.00E-24  3.00E-24
3122.2  5.00E-24  5.00E-24
3126.1  9.00E-24  9.00E-24
3130  1.40E-23  1.40E-23
3134  2.10E-23  2.10E-23
3138  3.30E-23  3.30E-23
3141.9  5.00E-23  5.00E-23
3145.9  7.60E-23  7.60E-23
3149.9  1.14E-22  1.14E-22
3153.9  1.69E-22  1.69E-22
3157.9  2.48E-22  2.48E-22
3162  3.62E-22  3.62E-22
3166  5.22E-22  5.22E-22
3170.1  7.47E-22  7.47E-22
3174.1  1.06E-21  1.06E-21
3178.2  1.48E-21  1.48E-21
3182.3  2.06E-21  2.06E-21
3186.4  2.83E-21  2.83E-21
3190.5  3.86E-21  3.86E-21
3194.6  5.21E-21  5.21E-21
3198.7  6.97E-21  6.97E-21
3202.8  9.24E-21  9.24E-21
3207  1.21E-20  1.21E-20
3211.1  1.58E-20  1.58E-20
3215.3  2.03E-20  2.03E-20
3219.4  2.60E-20  2.60E-20
3223.6  3.28E-20  3.28E-20
3227.8  4.12E-20  4.12E-20
3232  5.12E-20  5.12E-20
3236.3  6.31E-20  6.31E-20
3240.5  7.70E-20  7.70E-20
3244.7  9.33E-20  9.33E-20
3249  1.12E-19  1.12E-19
3253.2  1.33E-19  1.33E-19
3257.5  1.58E-19  1.58E-19
3261.8  1.85E-19  1.85E-19
3266.1  2.15E-19  2.15E-19
3270.4  2.48E-19  2.48E-19
3274.7  2.84E-19  2.84E-19
3279.1  3.23E-19  3.23E-19
3283.4  3.65E-19  3.65E-19
3287.7  4.10E-19  4.10E-19
3292.1  4.58E-19  4.58E-19
3296.5  5.08E-19  5.08E-19
3300.9  5.62E-19  5.62E-19
3305.3  6.18E-19  6.18E-19
3309.7  6.76E-19  6.76E-19
3314.1  7.38E-19  7.38E-19
3318.5  8.02E-19  8.02E-19
3323  8.70E-19  8.70E-19
3327.5  9.41E-19  9.41E-19
3331.9  1.02E-18  1.02E-18
3336.4  1.10E-18  1.10E-18
3340.9  1.18E-18  1.18E-18
3345.4  1.27E-18  1.27E-18
3349.9  1.36E-18  1.36E-18
3354.5  1.47E-18  1.47E-18
3359  1.57E-18  1.57E-18
3363.6  1.69E-18  1.69E-18
3368.1  1.81E-18  1.81E-18
3372.7  1.95E-18  1.95E-18
3377.3  2.09E-18  2.09E-18
3381.9  2.24E-18  2.24E-18
3386.5  2.40E-18  2.40E-18
3391.2  2.57E-18  2.57E-18
3395.8  2.75E-18  2.75E-18
3400.5  2.94E-18  2.94E-18
3405.1  3.15E-18  3.15E-18
3409.8  3.37E-18  3.37E-18
3414.5  3.60E-18  3.60E-18
3419.2  3.85E-18  3.85E-18
3423.9  4.11E-18  4.11E-18
3428.7  4.39E-18  4.39E-18
3433.4  4.69E-18  4.69E-18
3438.2  5.00E-18  5.00E-18
3443  5.33E-18  5.33E-18
3447.7  5.68E-18  5.68E-18
3452.5  6.06E-18  6.06E-18
3457.4  6.45E-18  6.45E-18
3462.2  6.86E-18  6.86E-18
3467  7.29E-18  7.29E-18
3471.9  7.74E-18  7.74E-18
3476.7  8.21E-18  8.21E-18
3481.6  8.71E-18  8.71E-18
3486.5  9.21E-18  9.21E-18
3491.4  9.74E-18  9.74E-18
3496.4  1.03E-17  1.03E-17
3501.3  1.09E-17  1.09E-17
3506.2  1.14E-17  1.14E-17
3511.2  1.20E-17  1.20E-17
3516.2  1.27E-17  1.27E-17
