0          References for Cross Section of 32S32S        
           Sarka et al., 2023 (4 isotopes but 10 isotopes needed=>No isotope)   
0 Branching ratio for 32S32S       Total        1 branch
Lambda  Total   32S/32S
2237.045669  1.42E-20  1.42E-20
2237.075472  1.00E-20  1.00E-20
2237.096234  1.51E-20  1.51E-20
2237.113823  1.14E-20  1.14E-20
2237.134035  1.25E-20  1.25E-20
2237.156499  1.16E-20  1.16E-20
2237.172895  2.46E-20  2.46E-20
2237.19776  9.43E-21  9.43E-21
2237.227387  1.63E-20  1.63E-20
2237.236119  1.58E-20  1.58E-20
2237.243534  3.20E-20  3.20E-20
2237.253896  1.28E-20  1.28E-20
2237.271615  1.27E-20  1.27E-20
2237.288093  2.35E-20  2.35E-20
2237.297187  1.59E-20  1.59E-20
2237.305957  9.36E-21  9.36E-21
2237.321842  1.07E-20  1.07E-20
2237.339936  1.17E-20  1.17E-20
2237.350408  1.71E-20  1.71E-20
2237.360572  1.06E-20  1.06E-20
2237.370218  8.61E-21  8.61E-21
2237.379038  2.81E-20  2.81E-20
2237.386911  2.00E-20  2.00E-20
2237.392503  1.37E-20  1.37E-20
2237.399599  3.26E-20  3.26E-20
2237.408748  1.77E-20  1.77E-20
2237.428576  1.01E-20  1.01E-20
2237.446796  2.46E-20  2.46E-20
2237.454626  3.09E-20  3.09E-20
2237.462487  2.89E-20  2.89E-20
2237.478917  9.89E-21  9.89E-21
2237.498886  1.50E-20  1.50E-20
2237.507556  2.13E-20  2.13E-20
2237.515862  1.74E-20  1.74E-20
2237.52919  1.27E-20  1.27E-20
2237.552809  1.34E-20  1.34E-20
2237.579688  1.44E-20  1.44E-20
2237.604737  2.07E-20  2.07E-20
2237.617684  1.67E-20  1.67E-20
2237.629581  2.51E-20  2.51E-20
2237.638651  2.32E-20  2.32E-20
2237.647587  1.64E-20  1.64E-20
2237.657034  1.48E-20  1.48E-20
2237.670428  1.56E-20  1.56E-20
2237.687722  1.46E-20  1.46E-20
2237.720765  1.35E-20  1.35E-20
2237.748737  1.93E-20  1.93E-20
2237.761643  2.67E-20  2.67E-20
2237.77025  1.73E-20  1.73E-20
2237.781963  1.58E-20  1.58E-20
2237.798109  9.70E-21  9.70E-21
2237.818284  1.68E-20  1.68E-20
2237.832202  9.16E-21  9.16E-21
2237.841154  2.79E-20  2.79E-20
2237.857334  1.14E-20  1.14E-20
2237.891513  1.57E-20  1.57E-20
2237.930404  2.16E-20  2.16E-20
2237.938869  2.02E-20  2.02E-20
2237.946251  2.32E-20  2.32E-20
2237.954108  1.12E-20  1.12E-20
2237.966997  1.65E-20  1.65E-20
2237.988735  1.46E-20  1.46E-20
2238.022915  2.47E-20  2.47E-20
2238.036367  2.15E-20  2.15E-20
2238.053193  1.24E-20  1.24E-20
2238.077078  1.11E-20  1.11E-20
2238.09565  1.57E-20  1.57E-20
2238.112647  9.90E-21  9.90E-21
2238.137475  1.52E-20  1.52E-20
2238.173883  1.19E-20  1.19E-20
2238.185685  5.35E-20  5.35E-20
2238.193659  2.52E-20  2.52E-20
2238.199707  1.03E-20  1.03E-20
2238.209613  1.22E-20  1.22E-20
2238.219048  1.09E-20  1.09E-20
2238.230438  2.00E-20  2.00E-20
2238.241496  9.73E-21  9.73E-21
2238.248936  1.50E-20  1.50E-20
2238.254638  4.00E-20  4.00E-20
2238.260146  4.23E-20  4.23E-20
2238.26645  1.28E-20  1.28E-20
2238.2806  1.01E-20  1.01E-20
2238.298887  1.37E-20  1.37E-20
2238.309004  3.15E-20  3.15E-20
2238.324146  9.62E-21  9.62E-21
2238.343144  1.43E-20  1.43E-20
2238.353769  2.60E-20  2.60E-20
2238.360049  3.60E-20  3.60E-20
2238.366278  4.32E-20  4.32E-20
2238.375221  1.99E-20  1.99E-20
2238.390942  1.09E-20  1.09E-20
2238.414654  1.85E-20  1.85E-20
2238.428796  2.26E-20  2.26E-20
2238.438511  1.24E-20  1.24E-20
2238.449611  2.12E-20  2.12E-20
2238.463767  1.50E-20  1.50E-20
2238.486792  1.13E-20  1.13E-20
2238.50174  3.63E-20  3.63E-20
2238.515203  1.42E-20  1.42E-20
2238.530884  1.51E-20  1.51E-20
2238.541693  2.61E-20  2.61E-20
2238.551539  3.48E-20  3.48E-20
2238.570063  1.09E-20  1.09E-20
2238.591383  1.02E-20  1.02E-20
2238.612853  1.03E-20  1.03E-20
2238.63909  1.29E-20  1.29E-20
2238.652047  3.28E-20  3.28E-20
2238.660706  3.77E-20  3.77E-20
2238.667943  1.88E-20  1.88E-20
2238.683483  1.54E-20  1.54E-20
2238.709271  1.62E-20  1.62E-20
2238.733764  1.07E-20  1.07E-20
2238.74822  2.24E-20  2.24E-20
