0          References for Cross Section of 32S32S        
           Sarka et al., 2023 (4 isotopes but 10 isotopes needed=>No isotope)   
0 Branching ratio for 32S32S       Total        1 branch
Lambda  Total   32S/32S
2350.353344  1.38E-19  1.38E-19
2350.35809  6.84E-19  6.84E-19
2350.363589  2.03E-18  2.03E-18
2350.369444  5.82E-19  5.82E-19
2350.374885  1.13E-19  1.13E-19
2350.381555  1.06E-19  1.06E-19
2350.387468  1.11E-19  1.11E-19
2350.39218  2.03E-19  2.03E-19
2350.396176  4.81E-19  4.81E-19
2350.399786  5.07E-19  5.07E-19
2350.403444  2.44E-19  2.44E-19
2350.407452  1.22E-19  1.22E-19
2350.411743  1.11E-19  1.11E-19
2350.421321  1.06E-19  1.06E-19
2350.434917  1.06E-19  1.06E-19
2350.442255  1.13E-19  1.13E-19
2350.447939  2.12E-19  2.12E-19
2350.453222  2.79E-19  2.79E-19
2350.458259  1.50E-19  1.50E-19
2350.463147  1.11E-19  1.11E-19
2350.467661  1.14E-19  1.14E-19
2350.472254  1.18E-19  1.18E-19
2350.477066  1.09E-19  1.09E-19
2350.481361  1.06E-19  1.06E-19
2350.484745  1.13E-19  1.13E-19
2350.487893  1.73E-19  1.73E-19
2350.491409  4.22E-19  4.22E-19
2350.495479  1.13E-18  1.13E-18
2350.500332  1.56E-18  1.56E-18
2350.505839  3.68E-19  3.68E-19
2350.513809  1.52E-19  1.52E-19
2350.531762  1.29E-19  1.29E-19
2350.5419  1.08E-19  1.08E-19
2350.548695  1.77E-19  1.77E-19
2350.554472  3.19E-19  3.19E-19
2350.560238  1.58E-19  1.58E-19
2350.569526  1.06E-19  1.06E-19
2350.584928  1.19E-19  1.19E-19
2350.591885  1.20E-19  1.20E-19
2350.596649  1.94E-19  1.94E-19
2350.601009  4.19E-19  4.19E-19
2350.605481  3.25E-19  3.25E-19
2350.609844  1.39E-19  1.39E-19
2350.614414  1.07E-19  1.07E-19
2350.620981  1.06E-19  1.06E-19
2350.630136  1.06E-19  1.06E-19
2350.639702  1.06E-19  1.06E-19
2350.648276  1.19E-19  1.19E-19
2350.656491  2.19E-19  2.19E-19
2350.661599  2.24E-19  2.24E-19
2350.666643  2.37E-19  2.37E-19
2350.672065  3.32E-19  3.32E-19
2350.678338  1.32E-19  1.32E-19
2350.684383  1.06E-19  1.06E-19
2350.693683  1.06E-19  1.06E-19
2350.706613  1.06E-19  1.06E-19
2350.71546  1.24E-19  1.24E-19
2350.724484  3.66E-19  3.66E-19
2350.732432  1.40E-19  1.40E-19
2350.743687  1.07E-19  1.07E-19
2350.753749  1.06E-19  1.06E-19
2350.759553  1.07E-19  1.07E-19
2350.765937  1.09E-19  1.09E-19
2350.770859  1.08E-19  1.08E-19
2350.775418  1.15E-19  1.15E-19
2350.779773  1.36E-19  1.36E-19
2350.785164  1.22E-19  1.22E-19
2350.789872  1.20E-19  1.20E-19
2350.793996  1.49E-19  1.49E-19
2350.7985  2.98E-19  2.98E-19
2350.802835  3.70E-19  3.70E-19
2350.806815  1.87E-19  1.87E-19
2350.811949  1.15E-19  1.15E-19
2350.81733  1.17E-19  1.17E-19
2350.824618  1.08E-19  1.08E-19
2350.836618  1.76E-19  1.76E-19
2350.846393  1.62E-18  1.62E-18
2350.851564  1.05E-18  1.05E-18
2350.856336  2.98E-19  2.98E-19
2350.861184  4.66E-19  4.66E-19
2350.865509  2.82E-19  2.82E-19
2350.86963  1.26E-19  1.26E-19
2350.874927  1.13E-19  1.13E-19
2350.882722  1.10E-19  1.10E-19
2350.889524  1.08E-19  1.08E-19
2350.89687  1.11E-19  1.11E-19
2350.903689  1.07E-19  1.07E-19
2350.909533  1.07E-19  1.07E-19
2350.91497  1.07E-19  1.07E-19
2350.91969  1.13E-19  1.13E-19
2350.925056  2.04E-19  2.04E-19
2350.930728  2.43E-19  2.43E-19
2350.936068  1.37E-19  1.37E-19
2350.94125  2.14E-19  2.14E-19
2350.94631  4.05E-19  4.05E-19
2350.950903  2.27E-19  2.27E-19
2350.954632  1.19E-19  1.19E-19
2350.957885  1.08E-19  1.08E-19
2350.961571  1.07E-19  1.07E-19
2350.966226  1.07E-19  1.07E-19
2350.97158  1.07E-19  1.07E-19
2350.976644  1.12E-19  1.12E-19
2350.98108  2.82E-19  2.82E-19
2350.986431  1.32E-18  1.32E-18
2350.991648  9.53E-19  9.53E-19
2350.99648  3.91E-19  3.91E-19
2351.000576  2.15E-19  2.15E-19
2351.004335  1.42E-19  1.42E-19
2351.007519  2.39E-19  2.39E-19
2351.010188  4.30E-19  4.30E-19
2351.013005  4.99E-19  4.99E-19
2351.015771  3.40E-19  3.40E-19
2351.018593  1.89E-19  1.89E-19
2351.021557  1.48E-19  1.48E-19
2351.025063  1.27E-19  1.27E-19
2351.028828  1.11E-19  1.11E-19
2351.032937  1.07E-19  1.07E-19
2351.038738  1.07E-19  1.07E-19
2351.046281  1.07E-19  1.07E-19
2351.055724  1.08E-19  1.08E-19
2351.069837  1.07E-19  1.07E-19
2351.083166  1.19E-19  1.19E-19
2351.092245  1.14E-19  1.14E-19
2351.09707  1.23E-19  1.23E-19
2351.100865  2.45E-19  2.45E-19
2351.104735  4.35E-19  4.35E-19
2351.108795  2.96E-19  2.96E-19
2351.112877  1.32E-19  1.32E-19
2351.117303  1.08E-19  1.08E-19
2351.122737  1.07E-19  1.07E-19
2351.131525  1.07E-19  1.07E-19
2351.140569  1.08E-19  1.08E-19
2351.147708  1.08E-19  1.08E-19
2351.154445  1.08E-19  1.08E-19
2351.161581  1.08E-19  1.08E-19
2351.167472  1.14E-19  1.14E-19
2351.172724  2.68E-19  2.68E-19
2351.177627  4.75E-19  4.75E-19
2351.182236  2.35E-19  2.35E-19
2351.185823  1.36E-19  1.36E-19
2351.188979  1.27E-19  1.27E-19
2351.192708  1.47E-19  1.47E-19
2351.197645  2.34E-19  2.34E-19
2351.203386  1.54E-19  1.54E-19
2351.209613  1.08E-19  1.08E-19
2351.22568  1.08E-19  1.08E-19
2351.240183  1.10E-19  1.10E-19
2351.249693  1.24E-19  1.24E-19
2351.25818  1.13E-19  1.13E-19
2351.265911  2.19E-19  2.19E-19
2351.273978  3.32E-19  3.32E-19
2351.282657  2.67E-19  2.67E-19
2351.29019  1.14E-19  1.14E-19
2351.299772  1.15E-19  1.15E-19
2351.305716  1.08E-19  1.08E-19
2351.310514  1.08E-19  1.08E-19
2351.315918  1.08E-19  1.08E-19
2351.321691  1.16E-19  1.16E-19
2351.3267  1.28E-19  1.28E-19
2351.332496  1.13E-19  1.13E-19
2351.339216  4.00E-19  4.00E-19
2351.346307  1.59E-18  1.59E-18
2351.352941  5.95E-19  5.95E-19
2351.35892  3.91E-19  3.91E-19
2351.365128  1.25E-19  1.25E-19
2351.370661  1.08E-19  1.08E-19
2351.375746  1.08E-19  1.08E-19
2351.380138  1.08E-19  1.08E-19
2351.384994  1.08E-19  1.08E-19
2351.391259  1.08E-19  1.08E-19
2351.399661  1.08E-19  1.08E-19
2351.409167  1.08E-19  1.08E-19
2351.417061  1.14E-19  1.14E-19
2351.423777  1.17E-19  1.17E-19
2351.429959  1.09E-19  1.09E-19
2351.436958  1.10E-19  1.10E-19
2351.446265  1.11E-19  1.11E-19
2351.454513  1.14E-19  1.14E-19
2351.461685  3.11E-19  3.11E-19
2351.468492  3.75E-19  3.75E-19
2351.474885  2.61E-19  2.61E-19
2351.481177  1.82E-19  1.82E-19
2351.486902  8.47E-19  8.47E-19
2351.493372  9.75E-19  9.75E-19
2351.501054  1.44E-19  1.44E-19
2351.507908  1.09E-19  1.09E-19
2351.515657  1.12E-19  1.12E-19
2351.524817  1.09E-19  1.09E-19
2351.533731  1.09E-19  1.09E-19
2351.542275  1.66E-19  1.66E-19
2351.549404  4.63E-19  4.63E-19
2351.556952  1.67E-19  1.67E-19
2351.571344  1.13E-19  1.13E-19
2351.583171  1.25E-19  1.25E-19
2351.588324  1.12E-19  1.12E-19
2351.592157  1.10E-19  1.10E-19
2351.595845  1.09E-19  1.09E-19
2351.599765  1.09E-19  1.09E-19
2351.603376  1.09E-19  1.09E-19
2351.607411  1.09E-19  1.09E-19
2351.611982  1.09E-19  1.09E-19
2351.618466  1.09E-19  1.09E-19
2351.631729  1.09E-19  1.09E-19
2351.645469  1.12E-19  1.12E-19
2351.653839  1.10E-19  1.10E-19
2351.659642  1.64E-19  1.64E-19
2351.666272  4.60E-19  4.60E-19
2351.672622  1.99E-19  1.99E-19
2351.679166  1.10E-19  1.10E-19
2351.68856  1.09E-19  1.09E-19
2351.69936  1.09E-19  1.09E-19
2351.710899  1.22E-19  1.22E-19
2351.719114  1.25E-19  1.25E-19
2351.728205  1.10E-19  1.10E-19
2351.738852  1.10E-19  1.10E-19
2351.746949  2.50E-19  2.50E-19
2351.753019  6.25E-19  6.25E-19
2351.758442  5.19E-19  5.19E-19
2351.762789  2.11E-19  2.11E-19
2351.766893  1.33E-19  1.33E-19
2351.771635  1.38E-19  1.38E-19
2351.776961  1.24E-19  1.24E-19
2351.782431  1.11E-19  1.11E-19
2351.787249  1.17E-19  1.17E-19
2351.793778  1.14E-19  1.14E-19
2351.801296  1.09E-19  1.09E-19
2351.809837  1.09E-19  1.09E-19
2351.820738  1.09E-19  1.09E-19
2351.830122  1.11E-19  1.11E-19
2351.837071  1.10E-19  1.10E-19
2351.841654  1.10E-19  1.10E-19
2351.845633  1.18E-19  1.18E-19
2351.849976  2.10E-19  2.10E-19
2351.854776  1.02E-18  1.02E-18
2351.859418  1.52E-18  1.52E-18
2351.865228  3.47E-19  3.47E-19
2351.874976  2.03E-19  2.03E-19
2351.884707  3.64E-19  3.64E-19
2351.893102  1.13E-19  1.13E-19
2351.90037  1.09E-19  1.09E-19
2351.908017  1.10E-19  1.10E-19
2351.914844  1.15E-19  1.15E-19
2351.920789  1.19E-19  1.19E-19
2351.928234  1.10E-19  1.10E-19
2351.93401  1.09E-19  1.09E-19
2351.939604  1.10E-19  1.10E-19
2351.945153  1.10E-19  1.10E-19
2351.950783  1.10E-19  1.10E-19
2351.956403  1.10E-19  1.10E-19
2351.963825  1.10E-19  1.10E-19
2351.970484  1.51E-19  1.51E-19
2351.977906  4.74E-19  4.74E-19
2351.98411  2.03E-19  2.03E-19
2351.988546  1.13E-19  1.13E-19
2351.993131  1.10E-19  1.10E-19
2351.998157  1.46E-19  1.46E-19
2352.002365  5.65E-19  5.65E-19
2352.006643  1.27E-18  1.27E-18
2352.011442  6.10E-19  6.10E-19
2352.016873  1.32E-19  1.32E-19
2352.022406  1.23E-19  1.23E-19
2352.028878  2.55E-19  2.55E-19
2352.035792  2.79E-19  2.79E-19
2352.040021  1.76E-19  1.76E-19
2352.044109  1.34E-19  1.34E-19
2352.04887  1.15E-19  1.15E-19
2352.054252  1.10E-19  1.10E-19
2352.059424  1.10E-19  1.10E-19
2352.065607  1.10E-19  1.10E-19
2352.077618  1.10E-19  1.10E-19
2352.088728  1.10E-19  1.10E-19
2352.094769  1.14E-19  1.14E-19
2352.09982  1.37E-19  1.37E-19
2352.104554  1.83E-19  1.83E-19
2352.109072  4.26E-19  4.26E-19
2352.113387  4.49E-19  4.49E-19
2352.117776  1.81E-19  1.81E-19
2352.122814  1.13E-19  1.13E-19
2352.128434  1.27E-19  1.27E-19
2352.133666  1.37E-19  1.37E-19
2352.138172  1.24E-19  1.24E-19
2352.142272  1.12E-19  1.12E-19
2352.146205  1.10E-19  1.10E-19
2352.150519  1.11E-19  1.11E-19
2352.155144  1.13E-19  1.13E-19
2352.159739  1.13E-19  1.13E-19
2352.164559  1.11E-19  1.11E-19
2352.169909  1.11E-19  1.11E-19
2352.175141  1.10E-19  1.10E-19
2352.180781  1.10E-19  1.10E-19
2352.187141  1.10E-19  1.10E-19
2352.195544  1.10E-19  1.10E-19
2352.206277  1.90E-19  1.90E-19
2352.214749  4.83E-19  4.83E-19
2352.220628  1.71E-19  1.71E-19
2352.2266  1.11E-19  1.11E-19
2352.234815  1.10E-19  1.10E-19
2352.247757  1.10E-19  1.10E-19
2352.278533  1.12E-19  1.12E-19
2352.289997  1.13E-19  1.13E-19
2352.295671  1.16E-19  1.16E-19
2352.301169  1.18E-19  1.18E-19
2352.306801  1.11E-19  1.11E-19
2352.312287  1.18E-19  1.18E-19
2352.317516  1.89E-19  1.89E-19
2352.323632  1.79E-19  1.79E-19
2352.32909  1.15E-19  1.15E-19
2352.334415  1.22E-19  1.22E-19
2352.340079  1.27E-19  1.27E-19
2352.345255  1.20E-19  1.20E-19
2352.349972  2.42E-19  2.42E-19
2352.35429  5.09E-19  5.09E-19
2352.358481  3.56E-19  3.56E-19
2352.362464  1.46E-19  1.46E-19
2352.366943  1.11E-19  1.11E-19
2352.371829  1.12E-19  1.12E-19
2352.376721  2.16E-19  2.16E-19
2352.381905  1.16E-18  1.16E-18
2352.38757  9.92E-19  9.92E-19
2352.391838  2.16E-19  2.16E-19
2352.395073  1.17E-19  1.17E-19
2352.398323  1.12E-19  1.12E-19
2352.40182  1.12E-19  1.12E-19
2352.405261  1.12E-19  1.12E-19
2352.409364  1.11E-19  1.11E-19
2352.413602  1.11E-19  1.11E-19
2352.418546  1.11E-19  1.11E-19
2352.424427  1.12E-19  1.12E-19
2352.430026  1.28E-19  1.28E-19
2352.4365  1.32E-19  1.32E-19
2352.443557  1.12E-19  1.12E-19
2352.452592  1.22E-19  1.22E-19
2352.462568  4.29E-19  4.29E-19
2352.471262  1.58E-19  1.58E-19
2352.47726  1.11E-19  1.11E-19
2352.483499  1.12E-19  1.12E-19
2352.491188  1.11E-19  1.11E-19
2352.498415  1.11E-19  1.11E-19
2352.506246  1.11E-19  1.11E-19
2352.513681  1.27E-19  1.27E-19
2352.520921  2.61E-19  2.61E-19
2352.527244  1.71E-19  1.71E-19
2352.534064  7.54E-19  7.54E-19
2352.54569  3.36E-19  3.36E-19
2352.561763  1.11E-19  1.11E-19
2352.57503  1.12E-19  1.12E-19
2352.58672  1.11E-19  1.11E-19
2352.599897  1.14E-19  1.14E-19
2352.607857  3.71E-19  3.71E-19
2352.614498  5.31E-19  5.31E-19
2352.619884  1.63E-19  1.63E-19
2352.624324  1.12E-19  1.12E-19
2352.630242  1.11E-19  1.11E-19
2352.636381  1.12E-19  1.12E-19
2352.641722  1.16E-19  1.16E-19
2352.64708  1.31E-19  1.31E-19
2352.652311  1.19E-19  1.19E-19
2352.657939  1.14E-19  1.14E-19
2352.664095  1.30E-19  1.30E-19
2352.670514  1.18E-19  1.18E-19
2352.675752  1.11E-19  1.11E-19
2352.681857  1.13E-19  1.13E-19
2352.689042  1.16E-19  1.16E-19
2352.695683  1.12E-19  1.12E-19
2352.705107  1.11E-19  1.11E-19
2352.718455  1.83E-19  1.83E-19
2352.733721  2.35E-19  2.35E-19
2352.742246  1.17E-19  1.17E-19
2352.753997  1.19E-19  1.19E-19
2352.763868  1.12E-19  1.12E-19
2352.773997  1.12E-19  1.12E-19
2352.78138  1.12E-19  1.12E-19
2352.787573  1.12E-19  1.12E-19
2352.792384  1.12E-19  1.12E-19
2352.796381  1.14E-19  1.14E-19
2352.800271  1.42E-19  1.42E-19
2352.804347  2.21E-19  2.21E-19
2352.808483  1.99E-19  1.99E-19
2352.812645  1.29E-19  1.29E-19
2352.817111  1.14E-19  1.14E-19
2352.822396  1.19E-19  1.19E-19
2352.828334  1.16E-19  1.16E-19
2352.833161  1.12E-19  1.12E-19
2352.838099  1.12E-19  1.12E-19
2352.844668  1.12E-19  1.12E-19
2352.853666  1.12E-19  1.12E-19
2352.871542  1.33E-19  1.33E-19
2352.880335  3.02E-19  3.02E-19
2352.887587  3.94E-19  3.94E-19
2352.894429  1.29E-19  1.29E-19
2352.901763  1.88E-19  1.88E-19
2352.911536  1.23E-19  1.23E-19
2352.919071  5.66E-19  5.66E-19
2352.928003  8.44E-19  8.44E-19
2352.935728  1.22E-19  1.22E-19
2352.94346  1.15E-19  1.15E-19
2352.95112  1.14E-19  1.14E-19
2352.957735  1.18E-19  1.18E-19
2352.963433  1.20E-19  1.20E-19
2352.97002  1.28E-19  1.28E-19
2352.977566  1.19E-19  1.19E-19
2352.988281  1.12E-19  1.12E-19
2352.999719  2.37E-19  2.37E-19
2353.007004  4.66E-19  4.66E-19
2353.012022  1.78E-19  1.78E-19
2353.01612  1.15E-19  1.15E-19
2353.020103  1.12E-19  1.12E-19
2353.024341  1.12E-19  1.12E-19
2353.02903  1.12E-19  1.12E-19
2353.034088  1.12E-19  1.12E-19
2353.040537  1.12E-19  1.12E-19
2353.049849  1.12E-19  1.12E-19
2353.063534  1.12E-19  1.12E-19
2353.072834  1.63E-19  1.63E-19
2353.079228  8.16E-19  8.16E-19
2353.084987  8.01E-19  8.01E-19
2353.09014  1.82E-19  1.82E-19
2353.095422  1.14E-19  1.14E-19
2353.102306  1.13E-19  1.13E-19
2353.113116  1.12E-19  1.12E-19
2353.131954  1.12E-19  1.12E-19
2353.145992  1.13E-19  1.13E-19
2353.154553  1.13E-19  1.13E-19
2353.16073  1.18E-19  1.18E-19
2353.165959  2.53E-19  2.53E-19
2353.170638  5.03E-19  5.03E-19
2353.176162  2.38E-19  2.38E-19
2353.18102  1.17E-19  1.17E-19
2353.185895  1.13E-19  1.13E-19
2353.190438  1.14E-19  1.14E-19
2353.194704  1.43E-19  1.43E-19
2353.198768  2.24E-19  2.24E-19
2353.203046  2.00E-19  2.00E-19
2353.207951  1.23E-19  1.23E-19
2353.21276  1.14E-19  1.14E-19
2353.218148  1.14E-19  1.14E-19
2353.22435  1.14E-19  1.14E-19
2353.232257  1.13E-19  1.13E-19
2353.239268  1.13E-19  1.13E-19
2353.246931  1.13E-19  1.13E-19
2353.258141  1.13E-19  1.13E-19
2353.27336  1.15E-19  1.15E-19
2353.285146  1.14E-19  1.14E-19
2353.293109  2.79E-19  2.79E-19
2353.300749  4.41E-19  4.41E-19
2353.306756  2.77E-19  2.77E-19
2353.312218  1.65E-19  1.65E-19
2353.318182  1.34E-19  1.34E-19
2353.324522  1.17E-19  1.17E-19
2353.332347  1.14E-19  1.14E-19
2353.340241  1.13E-19  1.13E-19
2353.347659  1.13E-19  1.13E-19
2353.352911  1.13E-19  1.13E-19
2353.357562  1.14E-19  1.14E-19
2353.362794  1.20E-19  1.20E-19
2353.369286  1.16E-19  1.16E-19
2353.378734  1.13E-19  1.13E-19
2353.390646  1.13E-19  1.13E-19
2353.397425  1.13E-19  1.13E-19
2353.403506  1.13E-19  1.13E-19
2353.409854  1.13E-19  1.13E-19
2353.418  1.23E-19  1.23E-19
2353.428778  1.16E-19  1.16E-19
2353.433801  1.13E-19  1.13E-19
2353.439018  1.14E-19  1.14E-19
2353.444572  1.14E-19  1.14E-19
2353.44963  1.13E-19  1.13E-19
2353.455018  1.13E-19  1.13E-19
2353.463443  1.62E-19  1.62E-19
2353.469998  5.38E-19  5.38E-19
2353.475319  1.06E-18  1.06E-18
2353.479902  1.24E-18  1.24E-18
2353.483553  5.00E-19  5.00E-19
2353.487167  1.53E-19  1.53E-19
2353.490597  1.16E-19  1.16E-19
2353.493957  1.27E-19  1.27E-19
2353.497697  1.78E-19  1.78E-19
2353.5013  2.13E-19  2.13E-19
2353.505395  1.59E-19  1.59E-19
2353.510709  1.17E-19  1.17E-19
2353.517085  1.13E-19  1.13E-19
2353.526481  1.14E-19  1.14E-19
2353.534261  1.14E-19  1.14E-19
2353.541464  1.14E-19  1.14E-19
2353.549829  1.14E-19  1.14E-19
2353.559953  1.14E-19  1.14E-19
2353.572655  1.14E-19  1.14E-19
2353.581983  1.14E-19  1.14E-19
2353.589555  1.31E-19  1.31E-19
2353.59469  2.11E-19  2.11E-19
2353.59882  2.86E-19  2.86E-19
2353.602488  4.72E-19  4.72E-19
2353.605608  4.96E-19  4.96E-19
2353.608845  2.76E-19  2.76E-19
2353.612601  1.38E-19  1.38E-19
2353.616332  1.23E-19  1.23E-19
2353.620033  1.18E-19  1.18E-19
2353.624655  1.20E-19  1.20E-19
2353.629079  1.34E-19  1.34E-19
2353.633745  2.46E-19  2.46E-19
2353.639331  9.13E-19  9.13E-19
2353.6449  5.36E-19  5.36E-19
2353.650413  1.31E-19  1.31E-19
2353.655749  1.30E-19  1.30E-19
2353.663918  1.36E-19  1.36E-19
2353.672345  1.19E-19  1.19E-19
2353.678797  1.14E-19  1.14E-19
2353.685366  1.14E-19  1.14E-19
2353.691429  1.14E-19  1.14E-19
2353.696333  1.14E-19  1.14E-19
2353.700922  1.14E-19  1.14E-19
2353.705796  1.14E-19  1.14E-19
2353.712452  1.14E-19  1.14E-19
2353.720551  1.14E-19  1.14E-19
2353.73372  1.14E-19  1.14E-19
2353.745332  1.18E-19  1.18E-19
2353.752522  3.25E-19  3.25E-19
2353.75788  7.50E-19  7.50E-19
2353.764262  1.07E-18  1.07E-18
2353.769583  5.22E-19  5.22E-19
2353.773849  1.51E-19  1.51E-19
2353.777923  1.79E-19  1.79E-19
2353.782193  7.85E-19  7.85E-19
2353.7862  1.68E-18  1.68E-18
2353.790009  1.10E-18  1.10E-18
2353.793238  3.43E-19  3.43E-19
2353.796659  1.39E-19  1.39E-19
2353.800626  1.68E-19  1.68E-19
2353.80499  2.40E-19  2.40E-19
2353.80987  3.99E-19  3.99E-19
2353.814695  7.27E-19  7.27E-19
2353.820188  1.38E-18  1.38E-18
2353.82733  6.88E-19  6.88E-19
2353.834549  1.18E-19  1.18E-19
2353.841899  1.14E-19  1.14E-19
2353.85397  4.29E-19  4.29E-19
2353.86233  8.35E-19  8.35E-19
2353.870387  1.57E-18  1.57E-18
2353.881259  2.28E-19  2.28E-19
2353.895459  1.14E-19  1.14E-19
2353.906346  1.15E-19  1.15E-19
2353.912041  2.28E-19  2.28E-19
2353.916957  1.03E-18  1.03E-18
2353.921386  1.33E-18  1.33E-18
2353.926029  8.40E-19  8.40E-19
2353.930226  1.57E-18  1.57E-18
2353.935187  1.88E-18  1.88E-18
2353.941909  2.86E-19  2.86E-19
2353.950961  1.15E-19  1.15E-19
2353.962836  1.15E-19  1.15E-19
2353.979131  1.18E-19  1.18E-19
2353.987345  6.39E-19  6.39E-19
2353.9934  1.53E-18  1.53E-18
2353.998197  4.95E-19  4.95E-19
2354.00287  4.97E-19  4.97E-19
2354.007709  2.10E-18  2.10E-18
2354.014294  1.03E-18  1.03E-18
2354.021662  1.23E-19  1.23E-19
2354.028467  1.17E-19  1.17E-19
2354.035584  1.40E-19  1.40E-19
2354.041674  4.95E-19  4.95E-19
2354.046975  1.19E-18  1.19E-18
2354.050958  5.99E-19  5.99E-19
2354.054517  1.84E-19  1.84E-19
2354.058119  1.29E-19  1.29E-19
2354.061632  1.31E-19  1.31E-19
2354.064853  1.28E-19  1.28E-19
2354.067803  1.26E-19  1.26E-19
2354.071285  2.16E-19  2.16E-19
2354.074254  7.01E-19  7.01E-19
2354.077082  1.65E-18  1.65E-18
2354.080282  1.87E-18  1.87E-18
2354.083743  8.14E-19  8.14E-19
2354.087009  2.18E-19  2.18E-19
2354.090051  1.89E-19  1.89E-19
2354.09298  6.54E-19  6.54E-19
2354.096421  2.20E-18  2.20E-18
2354.099651  2.84E-18  2.84E-18
2354.102272  1.77E-18  1.77E-18
2354.105153  6.60E-19  6.60E-19
2354.1081  3.31E-19  3.31E-19
2354.110933  4.56E-19  4.56E-19
2354.113911  6.29E-19  6.29E-19
2354.117294  4.38E-19  4.38E-19
2354.121381  1.67E-19  1.67E-19
2354.126066  1.16E-19  1.16E-19
2354.13395  1.15E-19  1.15E-19
2354.145851  1.17E-19  1.17E-19
2354.156653  1.31E-19  1.31E-19
2354.162881  1.19E-19  1.19E-19
2354.167945  1.25E-19  1.25E-19
2354.173006  4.83E-19  4.83E-19
2354.177677  1.97E-18  1.97E-18
2354.182642  1.43E-18  1.43E-18
2354.188665  1.82E-19  1.82E-19
2354.194648  4.83E-19  4.83E-19
2354.199861  2.55E-18  2.55E-18
2354.20451  2.22E-18  2.22E-18
2354.209263  7.66E-19  7.66E-19
2354.214163  8.90E-19  8.90E-19
2354.219987  2.57E-19  2.57E-19
2354.228163  1.16E-19  1.16E-19
2354.24048  1.15E-19  1.15E-19
2354.249801  1.25E-19  1.25E-19
2354.257349  3.68E-19  3.68E-19
2354.265732  2.33E-19  2.33E-19
2354.274256  1.16E-19  1.16E-19
2354.284665  4.37E-19  4.37E-19
2354.293805  2.20E-18  2.20E-18
2354.302118  2.81E-19  2.81E-19
2354.309107  2.19E-19  2.19E-19
2354.314448  1.69E-18  1.69E-18
2354.319305  2.97E-18  2.97E-18
2354.32448  7.18E-19  7.18E-19
2354.329136  1.34E-19  1.34E-19
2354.334339  1.16E-19  1.16E-19
2354.339792  1.16E-19  1.16E-19
2354.346259  1.16E-19  1.16E-19
2354.35401  1.16E-19  1.16E-19
2354.363845  1.16E-19  1.16E-19
2354.383387  1.16E-19  1.16E-19
2354.394157  1.29E-19  1.29E-19
2354.401312  1.93E-19  1.93E-19
2354.407222  1.36E-19  1.36E-19
2354.411628  2.07E-19  2.07E-19
2354.416766  1.63E-18  1.63E-18
2354.424609  1.52E-18  1.52E-18
2354.432368  1.32E-19  1.32E-19
2354.441667  1.09E-18  1.09E-18
2354.452167  2.14E-18  2.14E-18
2354.460844  3.73E-19  3.73E-19
2354.469563  1.20E-19  1.20E-19
2354.479193  1.16E-19  1.16E-19
2354.489232  1.20E-19  1.20E-19
2354.498917  1.17E-19  1.17E-19
2354.508127  1.16E-19  1.16E-19
2354.515705  1.16E-19  1.16E-19
2354.522048  1.16E-19  1.16E-19
2354.529085  1.16E-19  1.16E-19
2354.536482  1.18E-19  1.18E-19
2354.546499  1.31E-19  1.31E-19
2354.552052  1.83E-19  1.83E-19
2354.556159  1.03E-18  1.03E-18
2354.56006  2.85E-18  2.85E-18
2354.564179  2.09E-18  2.09E-18
2354.568163  4.35E-19  4.35E-19
2354.57171  1.33E-19  1.33E-19
2354.575168  1.16E-19  1.16E-19
2354.57919  1.18E-19  1.18E-19
2354.584266  3.73E-19  3.73E-19
2354.589567  2.64E-18  2.64E-18
2354.594148  3.06E-18  3.06E-18
2354.597696  9.89E-19  9.89E-19
2354.601282  2.10E-19  2.10E-19
2354.604834  2.71E-19  2.71E-19
2354.608703  4.90E-19  4.90E-19
2354.612351  3.67E-19  3.67E-19
2354.615731  1.73E-19  1.73E-19
2354.619551  1.40E-19  1.40E-19
2354.623656  4.05E-19  4.05E-19
2354.62787  1.07E-18  1.07E-18
2354.631943  7.84E-19  7.84E-19
2354.636765  1.96E-19  1.96E-19
2354.642773  1.21E-19  1.21E-19
2354.649472  1.16E-19  1.16E-19
2354.658057  1.17E-19  1.17E-19
2354.671742  1.16E-19  1.16E-19
2354.68968  1.17E-19  1.17E-19
2354.699561  1.17E-19  1.17E-19
2354.706208  2.27E-19  2.27E-19
2354.713368  2.45E-18  2.45E-18
2354.719894  1.60E-18  1.60E-18
2354.728487  1.36E-19  1.36E-19
2354.738292  2.14E-19  2.14E-19
2354.746377  2.34E-18  2.34E-18
2354.75681  1.02E-18  1.02E-18
2354.771882  1.17E-19  1.17E-19
2354.786215  1.18E-19  1.18E-19
2354.794481  3.54E-19  3.54E-19
2354.802446  6.60E-19  6.60E-19
2354.808987  2.58E-19  2.58E-19
2354.814629  4.92E-19  4.92E-19
2354.820612  2.22E-19  2.22E-19
2354.827896  1.19E-19  1.19E-19
2354.837121  1.17E-19  1.17E-19
2354.846087  1.17E-19  1.17E-19
2354.853148  1.17E-19  1.17E-19
2354.858912  1.18E-19  1.18E-19
2354.864315  1.19E-19  1.19E-19
2354.868679  1.19E-19  1.19E-19
2354.872872  1.40E-19  1.40E-19
2354.878316  1.10E-18  1.10E-18
2354.884168  3.14E-18  3.14E-18
2354.889524  8.59E-19  8.59E-19
2354.894526  1.39E-19  1.39E-19
