0          References for Cross Section of 34SO        32S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1908.094834  6.22E-18  6.22E-18
1908.107441  6.92E-18  6.92E-18
1908.118429  5.95E-18  5.95E-18
1908.13881  4.51E-18  4.51E-18
1908.158181  6.43E-18  6.43E-18
1908.1681  5.12E-18  5.12E-18
1908.176624  4.37E-18  4.37E-18
1908.185918  1.15E-17  1.15E-17
1908.197552  6.56E-18  6.56E-18
1908.213  4.02E-18  4.02E-18
1908.225302  5.35E-18  5.35E-18
1908.240394  5.88E-18  5.88E-18
1908.26397  5.44E-18  5.44E-18
1908.281583  6.12E-18  6.12E-18
1908.293058  5.63E-18  5.63E-18
1908.309372  3.27E-18  3.27E-18
1908.323991  1.49E-17  1.49E-17
1908.333295  3.86E-18  3.86E-18
1908.346989  4.64E-18  4.64E-18
1908.367269  7.07E-18  7.07E-18
1908.378112  6.43E-18  6.43E-18
1908.389406  7.64E-18  7.64E-18
1908.420674  3.56E-18  3.56E-18
1908.453102  3.77E-18  3.77E-18
1908.468188  7.07E-18  7.07E-18
1908.473374  9.34E-18  9.34E-18
1908.478056  2.29E-17  2.29E-17
1908.483858  1.38E-17  1.38E-17
1908.493223  4.08E-18  4.08E-18
1908.515299  4.80E-18  4.80E-18
1908.536532  6.17E-18  6.17E-18
1908.544136  7.17E-18  7.17E-18
1908.549698  8.89E-18  8.89E-18
1908.555163  1.01E-17  1.01E-17
1908.560859  5.49E-18  5.49E-18
1908.569873  6.60E-18  6.60E-18
1908.585441  6.08E-18  6.08E-18
1908.594738  9.69E-18  9.69E-18
1908.601264  5.72E-18  5.72E-18
1908.610015  8.50E-18  8.50E-18
1908.624671  3.40E-18  3.40E-18
1908.634209  9.26E-18  9.26E-18
1908.640764  8.34E-18  8.34E-18
1908.646781  1.03E-17  1.03E-17
1908.655251  1.04E-17  1.04E-17
1908.666212  8.03E-18  8.03E-18
1908.679017  4.83E-18  4.83E-18
1908.689494  4.04E-18  4.04E-18
1908.697416  1.00E-17  1.00E-17
